"title","narrative"
"It is natural extra virgin olive oil obtained from Ayvalık (Edremit) olive variety","https://dlnarratives.eu/narrative/N130_VC_07_TR"
"Jogitz yogurt made from Goat's milk (several flavours)","https://dlnarratives.eu/narrative/N98_VC_06_CH2"
"Value Chain","https://dlnarratives.eu/narrative/N3_VC_19_TR"
"La Cattedra- Commons farming for social and educational purposes- Asiago Plateau","https://dlnarratives.eu/narrative/N93_VC_42_IT"
"Almenland Herbs","https://dlnarratives.eu/narrative/N41_VC_03_AT"
"Cow - dairy products","https://dlnarratives.eu/narrative/N44_VC_03_CZ"
"Old varieties of potatos (Walser Kartoffeln)","https://dlnarratives.eu/narrative/N34_VC_22_IT"
"Gruyère is a typical Swiss cheese, produced in the mountain pastures in summer","https://dlnarratives.eu/narrative/N154_VC_09_CH2"
"Bee products","https://dlnarratives.eu/narrative/N189_VC_11_CZ"
"Organic Olive Oil from Zuheros","https://dlnarratives.eu/narrative/N227_VC_13_ES"
"Sheep farmers from Weiz ('Weizer Schafbauern')","https://dlnarratives.eu/narrative/N257_VC_15_AT"
"Stone fruits: peach and abricot","https://dlnarratives.eu/narrative/N102_VC_06_FR1"
"The beekeeper produces organic honeys, honey aged in barrels and mead (fermented honey drink)","https://dlnarratives.eu/narrative/N248_VC_14_IT"
"Fresh Fruit (Grapes)","https://dlnarratives.eu/narrative/N94_VC_05_TR"
"PGI (Protected Geographical Indication) Cider from Hardanger","https://dlnarratives.eu/narrative/N36_VC_02_SCA"
"Organic garlic from Olaszfalu","https://dlnarratives.eu/narrative/N265_VC_15_HU"
"Prickly pear cactus is a perennial shrub that grows everywhere in the dry, rocky terrain of Dicti and in the region of Viannos","https://dlnarratives.eu/narrative/N246_VC_14_GR"
"Activities connected to the production of wine in the PDO Peza zone, at eastern Crete","https://dlnarratives.eu/narrative/N85_VC_05_GR"
"Raspberries produced in the area of Arilje region (western Serbia), PDO","https://dlnarratives.eu/narrative/N253_VC_14_SER"
"Sheep wool","https://dlnarratives.eu/narrative/N226_VC_13_CZ"
"Grain and cereal products","https://dlnarratives.eu/narrative/N187_VC_11_CH1"
"Scotch beef (PGI marked) from upland livestock farms in Skye and Lochalsh (LAU1)","https://dlnarratives.eu/narrative/N203_VC_11_UK"
"Cold mountain shelter Knowledge economy","https://dlnarratives.eu/narrative/N11_VC_01_HU"
"The farm sustainably produces apple and derived alcoholic beverages (cider)","https://dlnarratives.eu/narrative/N57_VC_27_IT"
"Traditional alpine herbs","https://dlnarratives.eu/narrative/N79_VC_05_CH1"
"Holzwelt Murau (transl.: World of wood Murau)","https://dlnarratives.eu/narrative/N114_VC_07_AT"
"Activities related to carobs, carob products and by-products in the area of Selli, Rethymno","https://dlnarratives.eu/narrative/N140_VC_08_GR"
"Independent and guided visits motivated by visiting wild places and seeing wildlife","https://dlnarratives.eu/narrative/N30_VC_21_UK"
"Diversification strategies of conventional agriculture in large irrigated field crops","https://dlnarratives.eu/narrative/N9_VC_01_FR1"
"Berries cultivated in Kopaonik Mountain/ National park, Dinaric Alps region; other mountain areas","https://dlnarratives.eu/narrative/N304_VC_17_SER"
"Colli Piacentini","https://dlnarratives.eu/narrative/N45_VC_24_IT"
"honey - Miels de Corse-Mele di Corsica - PDO","https://dlnarratives.eu/narrative/N119_VC_07_FR"
"cow's milk milk that has not been pasteurised, sterilised or thermised and is sold directly","https://dlnarratives.eu/narrative/N99_VC_45_CH2"
"Highland Spring and Tesco Perthshire Mineral water is based on extracting groundwater from hills","https://dlnarratives.eu/narrative/N22_VC_01_UK"
"Ausseerland Seesaibling und Forelle (engl. artic char and trout from the Region Ausseerland)","https://dlnarratives.eu/narrative/N291_VC_17_AT"
"Timber harvesting","https://dlnarratives.eu/narrative/N260_VC_15_CH2"
"Beekeeping and the Amatrice honey certified","https://dlnarratives.eu/narrative/N299_VC_17_IT"
"Vipava valley orange wines","https://dlnarratives.eu/narrative/N20_VC_01_SL"
"Nivegy-valley small family wineries","https://dlnarratives.eu/narrative/N49_VC_03_HU"
"Extensive and pastoral livestock farming","https://dlnarratives.eu/narrative/N29_VC_02_FR1"
"Wood","https://dlnarratives.eu/narrative/N134_VC_08_CH1"
"Family owned forestry","https://dlnarratives.eu/narrative/N1_VC_19_SCA"
"Huile d'olive de Corse - Oliu d'Alivu-PDO","https://dlnarratives.eu/narrative/N10_VC_20_FR"
"Pasta from Múcsony - a social economy project","https://dlnarratives.eu/narrative/N298_VC_17_HU"
"Almenland Schnaps","https://dlnarratives.eu/narrative/N95_VC_06_AT"
"Nature-based Tourism","https://dlnarratives.eu/narrative/N287_VC_16_SCA"
"Milk production with label 'mountain milk' according to EU regulations","https://dlnarratives.eu/narrative/N38_VC_02_SK"
"Murauer Heumilch (transl.: hay milk)","https://dlnarratives.eu/narrative/N151_VC_09_AT"
"Sheep and goat breeding for meat production in the area of Anogeia, in Psiloritis mountain","https://dlnarratives.eu/narrative/N48_VC_03_GR"
"Alto Trentino, organic wine production for premium wines","https://dlnarratives.eu/narrative/N40_VC_23_IT"
"Apicature activities in mountainous areas of Kissamos, Chania","https://dlnarratives.eu/narrative/N193_VC_11_GR"
"Activities based on apple production in Mount Pelium and especially from Zagora area, Thessaly","https://dlnarratives.eu/narrative/N315_VC_18_GR"
"Wines of Winningen, Mosel Valley","https://dlnarratives.eu/narrative/N6_VC_01_DE"
"Venison - Farmed and wild deer - Lochaber LAU1","https://dlnarratives.eu/narrative/N50_VC_25_UK"
"Brandy made from Juniperus communis from Serra da Estrela","https://dlnarratives.eu/narrative/N216_VC_12_PT2"
"Organic, aromatic and medicinal plants","https://dlnarratives.eu/narrative/N84_VC_05_FR1"
"PEFC certified wood from collective forests management","https://dlnarratives.eu/narrative/N89_VC_40_IT"
"Bio vom Berg (translated: Organic products from mountain areas)","https://dlnarratives.eu/narrative/N326_VC_19_AT"
"Styria Beef","https://dlnarratives.eu/narrative/N5_VC_20_AT"
"High Quality Beef Production","https://dlnarratives.eu/narrative/N26_VC_02_CZ"
"alpine pasture cheese with organic sheep's milk","https://dlnarratives.eu/narrative/N207_VC_12_CH2"
"Timber production in Slovak mountain forests","https://dlnarratives.eu/narrative/N182_VC_10_SK"
"Chestnut (seed) from chestnut groves at mountain hillsides and surroundings","https://dlnarratives.eu/narrative/N162_VC_09_PT2"
"Artisnal/bespoke timber products such as furniture, toys, jewellery (Ross and Cromarty LAU1)","https://dlnarratives.eu/narrative/N238_VC_13_UK"
"Spanish Vigneronsfrom Huesca Pirineos","https://dlnarratives.eu/narrative/N190_VC_11_ES"
"Central Appenninian (Abruzzo)","https://dlnarratives.eu/narrative/N83_VC_37_IT"
"Juniper essential oil (North Macedonia)","https://dlnarratives.eu/narrative/N13_VC_01_NMK"
"Wild mushrooms collected in the mountainous area of Kopaonik mountain","https://dlnarratives.eu/narrative/N322_VC_18_SER"
"Organic production and packaging of medicinal herbs in mountains","https://dlnarratives.eu/narrative/N129_VC_07_SK"
"Spring and mineral waters from mountains - sold as natural or flavored with local wild herbs","https://dlnarratives.eu/narrative/N323_VC_18_SK"
"Special types of chestnut trees for candied which is at the east of the İzmir on Bozdağ Mountains","https://dlnarratives.eu/narrative/N149_VC_08_TR"
"Chestnut flour coming from the rediscovered chesnut cultivation activities in the area","https://dlnarratives.eu/narrative/N32_VC_02_IT"
"SKIING (BOROVETS)","https://dlnarratives.eu/narrative/N186_VC_11_BG"
"Kärntna Låxn","https://dlnarratives.eu/narrative/N275_VC_16_AT"
"Breakfast puddings (e.g. Haggis, black pudding, white pudding) (Eilean Siar/ Western Isles LAU1)","https://dlnarratives.eu/narrative/N63_VC_28_UK"
"Arbutus unedo tree fruit from mountain hillsides and surroundings","https://dlnarratives.eu/narrative/N250_VC_14_PT2"
"Pumpkin seed products in Boldva","https://dlnarratives.eu/narrative/N67_VC_04_HU"
"DO Douro Wine - Douro Superior - Vila Nova de Foz Côa","https://dlnarratives.eu/narrative/N14_VC_01_PT"
"Activities connected to legumes, traditinally cultivated in Feneos area in the Peloponnese","https://dlnarratives.eu/narrative/N297_VC_17_GR"
"Fresh Fruit (Pears): Korkuteli Karyağdı Pear","https://dlnarratives.eu/narrative/N112_VC_06_TR"
"Production of traditional distilled spirit drinks from grape pomance 40%-65% ABV","https://dlnarratives.eu/narrative/N103_VC_06_GR"
"Skiing and downhill cycling in Eplény","https://dlnarratives.eu/narrative/N230_VC_13_HU"
"Highland cows - bred for genes and cultural status not necessarily for meat/dairy- Lochaber","https://dlnarratives.eu/narrative/N256_VC_14_UK"
"Unedo arbutus honey-PDO","https://dlnarratives.eu/narrative/N138_VC_08_FR"
"Production of Graviera cheese (Gruyere) in the area Amari, on the western slopes of Psiloritis mountain","https://dlnarratives.eu/narrative/N10_VC_01_GR"
"THERAPEUTIC BEE PRODUCTS (PROPOLIS and POLLEN)","https://dlnarratives.eu/narrative/N35_VC_02_RO"
"Royal Jelly - Mixture of royal jelly, bee glue, polen and honey","https://dlnarratives.eu/narrative/N35_VC_22_NMK"
"Welsh Lamb with PGI status (Powys (Wales))","https://dlnarratives.eu/narrative/N222_VC_12_UK"
"The tastes of Monostor","https://dlnarratives.eu/narrative/N333_VC_19_HU"
"Touristic services","https://dlnarratives.eu/narrative/N310_VC_18_CH1"
"Gastro village Köveskál Eat the View","https://dlnarratives.eu/narrative/N31_VC_02_HU"
"Organic farming and wine production in Vadna","https://dlnarratives.eu/narrative/N282_VC_16_HU"
"Mycology in the mountains of Soria","https://dlnarratives.eu/narrative/N111_VC_50_ES"
"Propolis (bee glue)","https://dlnarratives.eu/narrative/N13_VC_20_NMK"
"Unsprayed berries","https://dlnarratives.eu/narrative/N235_VC_13_SCA"
"Free ranged animals","https://dlnarratives.eu/narrative/N91_VC_05_SCA"
"Local bean variety from Manteigas municipality","https://dlnarratives.eu/narrative/N178_VC_10_PT2"
"Wine from Serra da Estrela, one of the subregions of Dão Demarcated Region","https://dlnarratives.eu/narrative/N197_VC_11_PT2"
"Ecological garden in Pallagvölgy - a joint enterprise","https://dlnarratives.eu/narrative/N316_VC_18_HU"
"Full fat cheese in brine made out of cow milk, matured for one month","https://dlnarratives.eu/narrative/N55_VC_03_SER"
"Cheese made from cow's milk, eaten raw and baked","https://dlnarratives.eu/narrative/N94_VC_43_CH2"
"Activities connected to PDO olive oil products of designated origin and geographical indication","https://dlnarratives.eu/narrative/N121_VC_07_GR"
"Barley flour and groats","https://dlnarratives.eu/narrative/N127_VC_07_SCA"
"Goat's milk cheese made by hand directly on the mountain pasture","https://dlnarratives.eu/narrative/N113_VC_51_CH2"
"Traditional alpine fruit products","https://dlnarratives.eu/narrative/N43_VC_03_CH1"
"Sustainable local food system project - Kóspallag","https://dlnarratives.eu/narrative/N33_VC_22_HU"
"Fresh lamb meat, PDO (whole animals), produced from Sjenica sheep - local autochthonous sheep breed","https://dlnarratives.eu/narrative/N18_VC_01_SER"
"Beeswax products including soap, candles, skincare and food wraps (Blaenau Gwent)","https://dlnarratives.eu/narrative/N59_VC_27_UK"
"Kozani Red saffron, ingredient of other products, cultivated and processed by a local cooperative","https://dlnarratives.eu/narrative/N264_VC_15_GR"
"Traditional potato from Olaszfalu","https://dlnarratives.eu/narrative/N160_VC_09_HU"
"Liqueur from Sambucus nigra flower from Serra da Estrela","https://dlnarratives.eu/narrative/N233_VC_13_PT2"
