"title","narrative","CountryName"
"ALMO alp oxen","https://dlnarratives.eu/narrative/N1_VC_01_AT","Austria"
"Murbodner Beef","https://dlnarratives.eu/narrative/N239_VC_14_AT","Austria"
"Almenland Stollenkäse (transl.: Almenland mining tunnel cheese)","https://dlnarratives.eu/narrative/N23_VC_02_AT","Austria"
"Bio vom Berg (translated: Organic products from mountain areas)","https://dlnarratives.eu/narrative/N326_VC_19_AT","Austria"
"Sheep wool","https://dlnarratives.eu/narrative/N226_VC_13_CZ","Czech Republic"
"High Quality Beef Production","https://dlnarratives.eu/narrative/N26_VC_02_CZ","Czech Republic"
"Goats - dairy products","https://dlnarratives.eu/narrative/N62_VC_04_CZ","Czech Republic"
"Picodon AOP","https://dlnarratives.eu/narrative/N120_VC_07_FR1","France"
"Unedo arbutus honey-PDO","https://dlnarratives.eu/narrative/N138_VC_08_FR","France"
"Extensive and pastoral livestock farming","https://dlnarratives.eu/narrative/N29_VC_02_FR1","France"
"Diversification strategies of conventional agriculture in large irrigated field crops","https://dlnarratives.eu/narrative/N9_VC_01_FR1","France"
"Activities connected to PDO olive oil products of designated origin and geographical indication","https://dlnarratives.eu/narrative/N121_VC_07_GR","Greece"
"Traditional potato from Olaszfalu","https://dlnarratives.eu/narrative/N160_VC_09_HU","Hungary"
"Traditional cabbeges from Olaszfalu","https://dlnarratives.eu/narrative/N176_VC_10_HU","Hungary"
"Logging, timber production, afforestation, maintenance, leasure, sport","https://dlnarratives.eu/narrative/N194_VC_11_HU","Hungary"
"Ecological garden in Pallagvölgy - a joint enterprise","https://dlnarratives.eu/narrative/N316_VC_18_HU","Hungary"
"The tastes of Monostor","https://dlnarratives.eu/narrative/N333_VC_19_HU","Hungary"
"Sustainable local food system project - Kóspallag","https://dlnarratives.eu/narrative/N33_VC_22_HU","Hungary"
"Pumpkin seed products in Boldva","https://dlnarratives.eu/narrative/N67_VC_04_HU","Hungary"
"The beekeeper produces organic honeys, honey aged in barrels and mead (fermented honey drink)","https://dlnarratives.eu/narrative/N248_VC_14_IT","Italy"
"The farm sustainably produces apple and derived alcoholic beverages (cider)","https://dlnarratives.eu/narrative/N57_VC_27_IT","Italy"
"Fly fishing in Hemsedal","https://dlnarratives.eu/narrative/N218_VC_12_SCA","Norway"
"DO Douro Wine - Douro Superior - Vila Nova de Foz Côa","https://dlnarratives.eu/narrative/N14_VC_01_PT","Portugal"
"CERTIFIED ECOTOURISM","https://dlnarratives.eu/narrative/N53_VC_03_RO","Romania"
"Vaccinium Myrtillus from National Park Kopaonik. Wild blue berry picking and processing","https://dlnarratives.eu/narrative/N110_VC_06_SER","Serbia"
"Trout fish produced in clear and fresh water ponds","https://dlnarratives.eu/narrative/N128_VC_07_SER","Serbia"
"Raspberries produced in the area of Arilje region (western Serbia), PDO","https://dlnarratives.eu/narrative/N253_VC_14_SER","Serbia"
"Berries cultivated in Kopaonik Mountain/ National park, Dinaric Alps region; other mountain areas","https://dlnarratives.eu/narrative/N304_VC_17_SER","Serbia"
"Wild mushrooms collected in the mountainous area of Kopaonik mountain","https://dlnarratives.eu/narrative/N322_VC_18_SER","Serbia"
"Spring and mineral waters from mountains - sold as natural or flavored with local wild herbs","https://dlnarratives.eu/narrative/N323_VC_18_SK","Slovakia"
"Label of the Swiss Mother Cow Association (association des vaches mères suisse) for beef from suckler cows or suckler cows in accordance with the principles of organic farming","https://dlnarratives.eu/narrative/N116_VC_54_CH2","Switzerland"
"PDO cheese made from raw and whole cow's milk. It's consumption is unique in that it is eaten in the form of rosettes obtained with the help of the 'girolle'","https://dlnarratives.eu/narrative/N135_VC_08_CH2","Switzerland"
"Gruyère is a typical Swiss cheese, produced in the mountain pastures in summer","https://dlnarratives.eu/narrative/N154_VC_09_CH2","Switzerland"
"Beer","https://dlnarratives.eu/narrative/N170_VC_10_CH1","Switzerland"
"'GranAlpin' cereal products","https://dlnarratives.eu/narrative/N206_VC_12_CH1","Switzerland"
"It is the only remaining horse breed of Swiss origin specialised in driving but with a versatile profile (trekking, sport)","https://dlnarratives.eu/narrative/N242_VC_14_CH2","Switzerland"
"Timber harvesting","https://dlnarratives.eu/narrative/N260_VC_15_CH2","Switzerland"
"Trout farming in the Doubs river","https://dlnarratives.eu/narrative/N278_VC_16_CH2","Switzerland"
"Wine","https://dlnarratives.eu/narrative/N61_VC_04_CH1","Switzerland"
"Traditional alpine herbs","https://dlnarratives.eu/narrative/N79_VC_05_CH1","Switzerland"
"Cheese made from cow's milk, eaten raw and baked","https://dlnarratives.eu/narrative/N94_VC_43_CH2","Switzerland"
"Jogitz yogurt made from Goat's milk (several flavours)","https://dlnarratives.eu/narrative/N98_VC_06_CH2","Switzerland"
"cow's milk milk that has not been pasteurised, sterilised or thermised and is sold directly","https://dlnarratives.eu/narrative/N99_VC_45_CH2","Switzerland"
"Value Chain","https://dlnarratives.eu/narrative/N19_VC_20_TR","Turkey"
"Aydın Fig is an agriicultural product that is consumed fresh and dried","https://dlnarratives.eu/narrative/N273_VC_15_TR","Turkey"
"Fresh Fruit (Apple)","https://dlnarratives.eu/narrative/N75_VC_04_TR","Turkey"
"Scotch whisky (PDO) which rely on clean water, peat and barley. Also an important tourist attraction","https://dlnarratives.eu/narrative/N4_VC_19_UK","United Kingdom"
