"title","narrative"
"Sheep wool","https://dlnarratives.eu/narrative/N226_VC_13_CZ"
"Osttiroler Mountain Lamb ('Osttiroler Berglamm')","https://dlnarratives.eu/narrative/N168_VC_10_AT"
"Wool Products from Bordaleira Serra da Estrela autochthonous sheep breed","https://dlnarratives.eu/narrative/N285_VC_16_PT2"
"Promotion of the production, harvesting and processing of wool from the Swiss Jura region by an association","https://dlnarratives.eu/narrative/N294_VC_17_CH2"
"Products made from Burel, a specific wool fabric","https://dlnarratives.eu/narrative/N301_VC_17_PT2"
"Mountain wool for Harris tweed - Western Isles (LAU1)","https://dlnarratives.eu/narrative/N290_VC_16_UK"
"'CHIPROVITSI' CARPETS","https://dlnarratives.eu/narrative/N78_VC_05_BG"
"Wool handmade carpets with traditional motives","https://dlnarratives.eu/narrative/N49_VC_25_SER"
"Sheep's wool processing helps maintain traditional sheep farming in Slovakia; the sheep wool products include home textile products and clothes","https://dlnarratives.eu/narrative/N74_VC_04_SK"
"ECO-FERTILISER (WOOL PELLETS)","https://dlnarratives.eu/narrative/N163_VC_09_RO"
"Grazalema wool blankets, textile craftsmanship","https://dlnarratives.eu/narrative/N86_VC_39_ES"
