title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Collection of forest mushrooms for own consumption,"The MOVING reference member state of this VC (Value Chain) is SLOVAKIA. The reference MOVING Card ID of this VC is VC 14 SK. Key activities: collection of forest non-wood products, home processing. Key actors: forest owners, public, state restrictions Positive impact on local and regional SES is a contribution to food availability, local products.","Slovakia, Value chain, Forest, Social-ecological system, Food","http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q7552762, http://www.wikidata.org/entity/Q2095",country in Central Europe|functions of a company affecting its costs and quality and give it a competitive advantage|dense collection of trees covering a relatively large area|bio-geo-physical unit and associated social actors|any substance consumed to provide nutritional support for the body; form of energy stored in chemical,"https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,null,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,null,https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg","48.7 19.7,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Slovak Carpathians. The reference mountain landscape of this VC is Kamienka. Municipality located close to the district city Stará Ľubovňa. The district has numerous touristic possibilities, inluding spa, ski areals, historic monuments, and hiking trails.","Kamienka, Kamienka, Stará Ľubovňa District, Stará Ľubovňa, Carpathian Mountains, Ski area, Historic building, Hiking","http://www.wikidata.org/entity/Q394736, http://www.wikidata.org/entity/Q390048, http://www.wikidata.org/entity/Q605521, http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q3034650, http://www.wikidata.org/entity/Q2471925, http://www.wikidata.org/entity/Q12014035","Wikimedia disambiguation page|municipality of Slovakia in Stará Ľubovňa district|town in Slovakia|mountain range in Central and Eastern Europe|skiable area linking several distinct ski resorts|Wikimedia list article|walking as a hobby, sport, or leisure activity","null,https://upload.wikimedia.org/wikipedia/commons/5/50/Kamienka_17_Slovakia5.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/StaraLubovna.mainsquare.JPG,https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/5/5b/Alta_via_meranese_2005-05.JPG","null,49.33166667 20.61527778,49.316666666667 20.683333333333,47 25.5,null,null,null"
Geography and population,The size of the area (km2) is 29.17. The minimum altimetry of the LAU (Local Administrative Unit) is 588. The maximum altimetry of the LAU is 588. The total population (in thousand) is 1.364. The population density (Inhabitants/km2) in the LAU is 46.75. The population change rate of the LAU in the last 10 years (%) has been -0.02%. The overall regional population density (Inhabitants/km2) is 92.02. The regional population change rate in the last 10 years (%) has been 0.02%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 10400. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7679.5. The primary sector share of total GVA/year [Province] is 2.53%. The secondary sector share of total GVA/year [Province] is 47.99%. The tertiary sector share of total GVA/year [Province] is 49.48%. The per capita income (EUR/year) [Region] is 11800. The total Gross Value Added (GVA) (EUR million/year) [Region] is 17202.16. The primary sector share of total GVA/year [Region] is 2.30%. The secondary sector share of total GVA/year [Region] is 49.09%. The tertiary sector share of total GVA/year [Region] is 48.61%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 856. The regional (Region) share of total BPs/year is 0.69%. The number of agricultural holdings in the LAU is 3515. The nearest settlement with population over 100000 (km) is 204. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 3.00%. The secondary sector share of total employment/year [Province] is 34.00%. The tertiary sector share of total employment/year [Province] is 63.00%. The primary sector share of total employment/year [Region] is 3.00%. The secondary sector share of total employment/year [Region] is 34.00%. The tertiary sector share of total employment/year [Region] is 63.00%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,The VC describes popular public activity in Slovak forests relating to mushroom picking for own domestic use. Commercialization of mushrooms and forest fruits is not usual in Slovakia. Some informal selling occurs from individual collectors contributing to family livelihood. A webpage for collectors exists where people can share the actual place of mushrooms grows and their experiences. Collection of forest mushrooms and forest fruits by public is very common activity in Slovak mountain forests.,"Slovakia, Forest, Mushroom hunting","http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q2391676",country in Central Europe|dense collection of trees covering a relatively large area|activity of gathering mushrooms in the wild,"https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Cantharellus_cibarius.jpg","48.7 19.7,null,null"
Key local assets,Natural assets are forests. Cultural assests are traditional activity in forest and knowledge about edible mushroom species. ,"Natural capital, Forest, Cultural heritage, Tradition, Knowledge, Edible mushroom","http://www.wikidata.org/entity/Q1540268, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q210272, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q9081, http://www.wikidata.org/entity/Q654236","world's stock of natural resources, which includes geology, soils, air, water and all living organisms|dense collection of trees covering a relatively large area|physical artifact or intangible attribute of a society inherited from past generations|custom passed down through generations|mental possession of information or skills, often contributing to understanding|edible fungi fruit bodies","null,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Peru_Machu_Picchu_Sunrise.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Tetradrachm_Athens_480-420BC_MBA_Lyon.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Grzyby_Pasa%C5%BC_Natoli%C5%84ski_w_Warszawie.jpg","null,null,null,null,null,null"
Challenges,1) the collectors are not always aware of restrictions for plant collection in National Parcs and National Natural Reserves. 2) no rules about the amount of mushrooms and forest fruits that individuals can collect. 3) the knowledge needed from collectors to recognize edible mushrooms and fruits. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.,"National park, Nature reserve, Mushroom, Berry, Venture capital, Tradition","http://www.wikidata.org/entity/Q46169, http://www.wikidata.org/entity/Q179049, http://www.wikidata.org/entity/Q83093, http://www.wikidata.org/entity/Q16128920, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821","park used for conservation purposes of animal life and plants|protected area for flora, fauna or features of geological interest|spore-bearing fruiting body of a fungus|small edible fruit|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations","https://upload.wikimedia.org/wikipedia/commons/5/5a/Grand_prismatic_no_noise_reduction.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/%D0%9A%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7_%D0%91%D0%B8%D0%BE%D1%81%D1%84_%D0%97%D0%B0%D0%BF%D0%BE%D0%B2%D0%B5%D0%B4%D0%BD%D0%B8%D0%BA_12.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Amanita_muscaria_%28fly_agaric%29.JPG,https://upload.wikimedia.org/wikipedia/commons/0/06/Vaccinium_corymbosum_a2.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg","null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural and cultural.,"Value chain, Innovation, Forestry, Natural environment, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|all living and non-living things occurring naturally on Earth or some region thereof|shared aspects of a society's way of life","null,null,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null"
