title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Picodon AOP,"The MOVING reference member state of this VC (Value Chain) is FRANCE CCVD. The reference MOVING Card ID of this VC is VC 07 FR1. Picodon AOP is a goat-milk cheese from the Drome, very representative of middle mountain agriculture.The quality label AOP provides strict requirements in terms of production practices (type of goat, refinements, cultural practices, pasture, animal feeding..) and promotion and marketing in and out of the territory. The VC is well established and structured by farmers unions (Syndicat Caprin, Syndicat AOP Picodon.) and dairy cooperatives. It can be either marketed in long distribution channel or local market. In fact, one can find a great diversity of producing practices: organic and farmer Picodon or convention dairy picodon production. In 2017 the marketed production was 532 tons, or nearly 9,000,000 picodons, of which nearly 1,600,000 were produced by the appellation's farm producers and sold at the region's markets. Pastoralism practices are very well developped in the territority, namely by farme Picodon producers, but suffers from strong pressures: predation (wolf), droughts, pasture's impact on biodiversity. However, the opportunities is to show that pastoralism can provide ecosystemic services (sylvopastoralims, goat pasture prevent from fire starts).","Drôme, Picodon, France, Appellation d'origine contrôlée, Pastoralism, Wolf, Biodiversity, Silvopasture, Goat","http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q1245576, http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q1565828, http://www.wikidata.org/entity/Q9056738, http://www.wikidata.org/entity/Q18498, http://www.wikidata.org/entity/Q47041, http://www.wikidata.org/entity/Q7517181, http://www.wikidata.org/entity/Q2934","French department|French goat cheese|country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)|French protected geographic appellation|branch of agriculture concerned with raising livestock|species of mammal|degree of variation of life forms|agricultural practice of grazing animals in woodland|domesticated mammal raised for its meat and milk","https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Paris_from_the_Arc_de_Triomphe%2C_17_October_2019.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/0e/Himachal_Pradesh_sheep.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Eurasian_wolf_2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Animal_diversity_October_2007.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/88/Billy_goat.jpg","44.75 5.1666666666667,null,47 2,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Drome Valley. The reference mountain landscape of this VC is Drome departement. Drôme is a very diversified departement in terms of geological, natural and agricultural resources. The North-East of the territory is characterised by middle and high mountains (Pre Alps and Vercors Natural Park): agriculture is this area is mainly livestock and small diversified gardening. The South is characterized by the beginning of the Provence and the mediterranean climate, we can find there aromatic and yard large cultures. The West of the territory is characterized by plains were the Rhône and the Drôme rivers meet. Agriculture ther is mainly large cropland. Within the Drôme departement, Biovallée territority gathers 3 associations of municipalities (EPCI) - 95 muncipalities in total. It is a very preserved and diversified territory, following the Drôme River, from Pre Alps to large plains of the downvalley.","Drôme, Provence, Rhône, Drôme (river), Prealps, Vercors Regional Natural Park, Mediterranean climate, Établissement public de coopération intercommunale","http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q101081, http://www.wikidata.org/entity/Q602, http://www.wikidata.org/entity/Q743296, http://www.wikidata.org/entity/Q64848883, http://www.wikidata.org/entity/Q3364644, http://www.wikidata.org/entity/Q13996, http://www.wikidata.org/entity/Q3258574",French department|region and historical province of southeastern France|river in Switzerland and France|river in France|foothills at the base of the Alps in Europe as a transition zone|French regional natural park|type of climate characterised by mild to cold wet winters and mild to hot dry summers|null,"https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Lavender_field_and_Mont_Ventoux.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Saint-benezet_in_southeastern_France.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Dr%C3%B4me.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/02/Petit_Veymont.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/KoppenclassificationworldmapCs.png,null","44.75 5.1666666666667,44 6,46.5742 8.3804,44.5139 5.6381,null,44.9242 5.43385,null,null"
Geography and population,The size of the area (km2) is 2200. The minimum altimetry of the LAU (Local Administrative Unit) is 50. The maximum altimetry of the LAU is 2453. The total population (in thousand) is 58.56. The population density (Inhabitants/km2) in the LAU is 42.3. The population change rate of the LAU in the last 10 years (%) has been 1%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) has been 0.6%.,"Lau Islands, Area, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q11500, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|measure of the extent of a two-dimensional region on a curved surface or flat plane|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 21100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 14532.49. The primary sector share of total GVA/year [Province] is 1.70%. The secondary sector share of total GVA/year [Province] is 20.30%. The tertiary sector share of total GVA/year [Province] is 77.80%. The per capita income (EUR/year) [Region] is 32799. The total Gross Value Added (GVA) (EUR million/year) [Region] is 242040. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.70%. The tertiary sector share of total GVA/year [Region] is 74.30%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 56167. The regional (Region) share of total BPs/year is 37%. The number of agricultural holdings in the LAU is 6400. The nearest settlement with population over 100000 (km) is 115. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 2.20%. The secondary sector share of total employment/year [Province] is 24.60%. The tertiary sector share of total employment/year [Province] is 71.50%. The primary sector share of total employment/year [Region] is 2.10%. The secondary sector share of total employment/year [Region] is 21.80%. The tertiary sector share of total employment/year [Region] is 76.10%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Picodon AOP is a goat-milk cheese produced in Drome Prealps and protected by an AOP (appellation d'origine protégée) which provide strict requirement in terms of production practices and marketing. Picodon is a very famous cheese, contributing to Drome territorial identity. Picodon AOP VC is well organized by producers associations and trade unions and can be either marketed in long distribution channel or local market. Within this VC, one can find organic and farmer Picodon or convention dairy picodon production. Products: Some Picodon producers are working of goat meat valorisation (cabri, chevreau) Processes: Farmer Picodon producers are developping practices that provide ecosystemic services ecopasture, sylvopastoralism.","Picodon, Drôme, Appellation d'origine contrôlée, Prealps, Cheese, Value chain, Organic farming, Farmer, Goat meat, Pastoralism, Silvopasture","http://www.wikidata.org/entity/Q1245576, http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q1565828, http://www.wikidata.org/entity/Q64848883, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q131512, http://www.wikidata.org/entity/Q449506, http://www.wikidata.org/entity/Q9056738, http://www.wikidata.org/entity/Q7517181","French goat cheese|French department|French protected geographic appellation|foothills at the base of the Alps in Europe as a transition zone|yellow or white, creamy or solid food made from the pressed curds of milk|functions of a company affecting its costs and quality and give it a competitive advantage|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|person engaged in agriculture, raising living organisms for food or raw materials|meat from the domestic goat used as food|branch of agriculture concerned with raising livestock|agricultural practice of grazing animals in woodland","https://upload.wikimedia.org/wikipedia/commons/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/a/a2/04-09-12-Schaupfl%C3%BCgen-Fahrenwalde-RalfR-IMG_1232.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Goat_chops.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Himachal_Pradesh_sheep.jpg,null","null,44.75 5.1666666666667,null,null,null,null,null,null,null,null,null"
Key local assets,"Cultural: Picodon is one of the most famous speciality in Drome departement which provide cultural asset: turistic attractivness, ancestral know-how, territorial identity, dedicated events. Natural: The AOP requirements guarantees production practices protecting middle mountain agriculture. Organic picodon producers also provide ecosystemic services: hampering fires thank to pasture practices, preservation of middle mountain agriculture. ","Picodon, Drôme, Culture, Appellation d'origine contrôlée, Organic farming, Agriculture, Ecosystem services","http://www.wikidata.org/entity/Q1245576, http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q11042, http://www.wikidata.org/entity/Q1565828, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q295865","French goat cheese|French department|shared aspects of a society's way of life|French protected geographic appellation|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|cultivation of plants and animals to provide useful products|benefits created by nature, forests and environmental systems","https://upload.wikimedia.org/wikipedia/commons/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bee_pollinating_Aquilegia_vulgaris.JPG","null,44.75 5.1666666666667,null,null,null,null,null"
Challenges,"Picodon AOP is a well-structured VC as goat-milk production is one of the top production in Drome which provide local economic value and territorial identity. However, this VC is very large and gather diverse producers: Farmers' Picodon producers often practice pastoralisme and Dairy Picodon producers working in dairy companies. Actors of this VC suffers from pressures: predation (wolf), droughts, impact on biodiversity,disease and parasite. Another challenge is the valorisation of goat meat in order to respond to consumer questions as well as the need to diversify for small producers. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.","Drôme, Picodon, Value chain, Pastoralism, Wolf, Drought, Biodiversity, Disease, Parasitology, Goat meat, Tradition, Innovation","http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q1245576, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q9056738, http://www.wikidata.org/entity/Q18498, http://www.wikidata.org/entity/Q43059, http://www.wikidata.org/entity/Q47041, http://www.wikidata.org/entity/Q12136, http://www.wikidata.org/entity/Q180502, http://www.wikidata.org/entity/Q449506, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","French department|French goat cheese|functions of a company affecting its costs and quality and give it a competitive advantage|branch of agriculture concerned with raising livestock|species of mammal|extended period when a region notes a deficiency in its water supply|degree of variation of life forms|abnormal condition negatively affecting organisms|branch of biology that studies parasites, their hosts, and the relationship between them|meat from the domestic goat used as food|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/0e/Himachal_Pradesh_sheep.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Eurasian_wolf_2.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Drought.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Animal_diversity_October_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Mycobacterium_tuberculosis.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/California_fish_and_game_%2819891706234%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Goat_chops.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","44.75 5.1666666666667,null,null,null,null,null,null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to New products and New processes. The land use systems involved are Grassland and Forestry. The local assets include Social and cultural.,"Venture capital, Innovation, New product development, Business process, Grassland, Forestry, Social, Culture","http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q1395034, http://www.wikidata.org/entity/Q851587, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q8425, http://www.wikidata.org/entity/Q11042","form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|complete process of bringing a new product to market|collection of related, structured activities or tasks that produce a specific service or product (serve a particular goal) for a particular customer or customers|area with vegetation dominated by grasses|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|group of people connected to each other|shared aspects of a society's way of life","null,null,https://upload.wikimedia.org/wikipedia/commons/5/5a/TypesOfNewProducts.svg,null,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null,null"
