title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Savoi- the Reconquest of the winemakers,"The MOVING reference member state of this VC (Value Chain) is France VINIDEA. The reference MOVING Card ID of this VC is VC 01 FR. Wine growing is the 2nd largest agricultural activity of Savoyard agriculture, after milk production. In Jongieux are located 6 commercial wine producers, making wine under Vins de Savoie Jongieux cru and Rousette de Savoie Marestel cru denomination. 5% of wine is exported and this number is growing. From 1999 the Association Coteuax Jongieux et Marestel is helping wine growers to reconstruct historical vineyards on the higher altitudes. Jongieux is attractive for wine and gastronomic tourists, it is the part of official touristic itinerary Route des Vins de Savoie.","France, Savoyard state, Jongieux, Value chain, Viticulture, Savoie, Wine cooperative, Vineyard, Wine route","http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q3591895, http://www.wikidata.org/entity/Q753785, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q12745, http://www.wikidata.org/entity/Q823196, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q3960262","country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)|collective term for States ruled by the Duke of Savoy from 1000 to 1847|commune in Savoie, France|functions of a company affecting its costs and quality and give it a competitive advantage|science, production and study of grapes|French department in the Auvergne-Rhône-Alpes region of the French Alps|agricultural cooperative|plantation of grape-bearing vines|specially designated road or waterway that travels through a wine-producing area","https://upload.wikimedia.org/wikipedia/commons/1/15/Paris_from_the_Arc_de_Triomphe%2C_17_October_2019.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/18/Jongieux_Vue_g%C3%A9n%C3%A9rale_3.JPG,null,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Pr%C3%A9fecture_de_la_Savoie.JPG,https://upload.wikimedia.org/wikipedia/commons/4/46/Crotta_di_vegneron_chambave.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,null","47 2,null,45.738888888889 5.7983333333333,null,null,45.583333333333 6.3333333333333,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Rhône-Alpes. The reference mountain landscape of this VC is Jongieux. Jongieux is a commune in the Savoie department in the Auvergne-Rhône-Alpes region in south-eastern France. It is also a named cru of the Vin de Savoie appellation.The village of Jongieux lies 12km east of the town of Belley, on the western slopes of the Mont du Chat mountain ridge, overlooking the Rhône river. The vineyards of the appellation stretch up the mountainside, reaching altitudes as high as 500m above sea level.","Rhône-Alpes, Jongieux, Savoie, Auvergne-Rhône-Alpes, France, Belley, Rhône, Vin de Savoie, Mont du Chat","http://www.wikidata.org/entity/Q463, http://www.wikidata.org/entity/Q753785, http://www.wikidata.org/entity/Q12745, http://www.wikidata.org/entity/Q18338206, http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q188496, http://www.wikidata.org/entity/Q602, http://www.wikidata.org/entity/Q2526374, http://www.wikidata.org/entity/Q3483603","former administrative region of France|commune in Savoie, France|French department in the Auvergne-Rhône-Alpes region of the French Alps|French administrative region|country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)|commune in Ain, France|river in Switzerland and France|null|mountain of the Jura in France","https://upload.wikimedia.org/wikipedia/commons/6/6f/SNCF_TGV_Duplex_Viaduc_de_Cize_-_Bolozon.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Jongieux_Vue_g%C3%A9n%C3%A9rale_3.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e6/Pr%C3%A9fecture_de_la_Savoie.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0b/Cornafion.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Paris_from_the_Arc_de_Triomphe%2C_17_October_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Vue_toits_belley.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Saint-benezet_in_southeastern_France.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/2_Bouteilles_Vin_de_Savoie.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1f/Relais_du_Mont_du_Chat.jpg","45.740186111111 4.8194472222222,45.738888888889 5.7983333333333,45.583333333333 6.3333333333333,45.7 4.8,47 2,45.759166666667 5.6880555555556,46.5742 8.3804,null,45.6625 5.82167"
Geography and population,The size of the area (km2) is 6.43. The minimum altimetry of the LAU (Local Administrative Unit) is 226. The maximum altimetry of the LAU is 1128. The total population (in thousand) is 0.3. The population density (Inhabitants/km2) in the LAU is 45.6. The population change rate of the LAU in the last 10 years (%) has been -2.30%. The overall regional population density (Inhabitants/km2) is 152. The regional population change rate in the last 10 years (%) has been 7.90%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 20508. The total Gross Value Added (GVA) (EUR million/year) [Province] is 13489.48. The primary sector share of total GVA/year [Province] is 0.70%. The secondary sector share of total GVA/year [Province] is 30.07%. The tertiary sector share of total GVA/year [Province] is 69.20%. The per capita income (EUR/year) [Region] is 27153. The total Gross Value Added (GVA) (EUR million/year) [Region] is 202065.11. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.50%. The tertiary sector share of total GVA/year [Region] is 74.40%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 194386. The regional (Region) share of total BPs/year is 7.70%. The number of agricultural holdings in the LAU is 20. The nearest settlement with population over 100000 (km) is 83. In this region protected areas are present.,"Lau Islands, Accommodation, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q122067, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|Wikimedia disambiguation page|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 1.60%. The secondary sector share of total employment/year [Province] is 17.80%. The tertiary sector share of total employment/year [Province] is 80.60%. The primary sector share of total employment/year [Region] is 2.00%. The secondary sector share of total employment/year [Region] is 21.30%. The tertiary sector share of total employment/year [Region] is 76.70%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"During the 20th century the surface area of Savoyard vineyards was drastically reducted. In the 2000-s new generations of vine growers started the reconquest, with the reconstruction of vineyards that have disappeared in the mountains and on the steepest slopes.","20th century, Savoie, Viticulture, 21st century, Mountain, Slope, Grapevine","http://www.wikidata.org/entity/Q6927, http://www.wikidata.org/entity/Q12745, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q6939, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q275447, http://www.wikidata.org/entity/Q191019","time period between January 1, 1901, and ended on December 31, 2000|French department in the Auvergne-Rhône-Alpes region of the French Alps|science, production and study of grapes|current century|large natural elevation of the Earth's surface|describes the steepness and directon of a line|genus of grape-producing plants","null,https://upload.wikimedia.org/wikipedia/commons/e/e6/Pr%C3%A9fecture_de_la_Savoie.JPG,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,null,https://upload.wikimedia.org/wikipedia/commons/2/29/Himalayas%2C_Ama_Dablam%2C_Nepal.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Slope_picture.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Vitis_californica_with_grapes.jpg","null,45.583333333333 6.3333333333333,null,null,null,null,null"
Key local assets,"The village high quality produces wines from Altesse (unique local variety existing only on this territory) which are sold under the Roussette de Savoie appellation (specifically under the Marestel cru title). The highest slopes of coteaux Marestel above the village have excellent soil characteristics and mesoclimate for the late-ripening, low-yielding Altesse variety. ","Altesse, Roussette de Savoie, Savoie, Coteau","http://www.wikidata.org/entity/Q439808, http://www.wikidata.org/entity/Q2169345, http://www.wikidata.org/entity/Q12745, http://www.wikidata.org/entity/Q1136578",varietal|French wine|French department in the Auvergne-Rhône-Alpes region of the French Alps|Wikimedia disambiguation page,"https://upload.wikimedia.org/wikipedia/commons/9/9d/Altesse_savoie.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Roussette_De_Savoie%2C_Altesse%2C_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Pr%C3%A9fecture_de_la_Savoie.JPG,null","null,null,45.583333333333 6.3333333333333,null"
Challenges,"The main challenge was to reconstruct from zero the 25 ha of vineyard on the steep slope (50-60%) of the coteaux Marestel, historically known as a good spot for high quality wine production, which was abandoned due to the demographic dynamics of the 20Th century and due to the difficulties connected to the mountain wine production (manual work, steep slopes). Overall the type of challenge faced by this VC is Predicted. This VC is classified as Traditional.","Vineyard, Slope, Wine production, Demographics, Venture capital, Traditionalism","http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q275447, http://www.wikidata.org/entity/Q213376, http://www.wikidata.org/entity/Q37732, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q354963","plantation of grape-bearing vines|describes the steepness and directon of a line|the production of wine, starting with the selection of the fruit, its fermentation into alcohol, and the bottling of the finished liquid|science that deals with populations and their structures statistically and theoretically|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Slope_picture.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Red_wine_cap.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Social_Network_Diagram_%28segment%29.svg,null,null","null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland and vineyards. The local assets include Natural and cultural.,"Value chain, Cropland, Viticulture, Nature, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|land used for agricultural purposes|science, production and study of grapes|natural, physical, or material world and its phenomena|shared aspects of a society's way of life","null,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null"
