title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Mountain region hard white cows milk cheese with PGI from Caerphillly LAU1 region within Wales,The MOVING reference member state of this VC (Value Chain) is SCOTLAND HUTTON. The reference MOVING Card ID of this VC is VC 02 UK. Traditional Welsh artisinal Caerphilly cheese is protected with Euopean Protected Georgaphical Indication (PGI) stuatus. PGI status is for English and Welsh spellings.,"United Kingdom, Wales, Welsh language, Caerphilly, English language, Scotland, Value chain, Caerphilly cheese, European Union, Protected geographical indication, England","http://www.wikidata.org/entity/Q145, http://www.wikidata.org/entity/Q25, http://www.wikidata.org/entity/Q9309, http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q1860, http://www.wikidata.org/entity/Q22, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q1025407, http://www.wikidata.org/entity/Q458, http://www.wikidata.org/entity/Q363268, http://www.wikidata.org/entity/Q21","island country in north-west Europe|country in north-west Europe, part of the United Kingdom|Brittonic language spoken natively in Wales|town and community in Wales|West Germanic language|country in north-west Europe, part of the United Kingdom|functions of a company affecting its costs and quality and give it a competitive advantage|Welsh cheese|political and economic union of 27 European states|quality policy of the European Union for food|country in north-west Europe, part of the United Kingdom","https://upload.wikimedia.org/wikipedia/commons/8/87/Palace_of_Westminster_from_the_dome_on_Methodist_Central_Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Arthog_-_Barmouth_Bridge_-_20070915150033.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/Red.Book.of.Hergest.facsimile.png,https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Webster_Orthography_1828_%284-14%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Scotland_from_satellite.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a7/Caerphilly_cheese.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/EU_on_a_globe.svg,null,https://upload.wikimedia.org/wikipedia/commons/b/b1/England_satellite_image.png","54.6 -2,52.35 -3.6333333333333,52.1 -3.8,51.578 -3.218,51 0,57 -5,null,null,50.116944444444 9.2477777777778,null,53 -1"
Mountain landscape and reference chains,"The reference mountain chain of this VC is West Wales (NUTS 2). The reference mountain landscape of this VC is Caerphilly. Caerphilly is in the south of Wales and is a densely populated area of steep-sided valleys, situated close to Cardiff and Newport. Historically it is an industrial and mining region, and although the area has lost its traditional industries, the secondary sector remains a key part of the economy. The area is not a traditional tourist destination (in the way that other parts of Wales are) and has suffered from periods of high unemployment in the past.","West Wales, Caerphilly, Wales, Cardiff, Newport, Wales","http://www.wikidata.org/entity/Q3094812, http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q25, http://www.wikidata.org/entity/Q10690, http://www.wikidata.org/entity/Q101254","geographical region of wales|town and community in Wales|country in north-west Europe, part of the United Kingdom|capital city of Wales, United Kingdom|city in south east Wales, United Kingdom","null,https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Arthog_-_Barmouth_Bridge_-_20070915150033.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Cardiffmontage3.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Newport_montage1.jpg","52.434 -4.275,51.578 -3.218,52.35 -3.6333333333333,51.48166666666667 -3.1791666666666667,51.58861111111111 -2.997777777777778"
Geography and population,The size of the area (km2) is 277.38782. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 535. The total population (in thousand) is 181.075. The population density (Inhabitants/km2) in the LAU is 652.79. The population change rate of the LAU in the last 10 years (%) has been 1.28%. The overall regional population density (Inhabitants/km2) is 150.68. The regional population change rate in the last 10 years (%) has been 2.33%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 17614.57. The total Gross Value Added (GVA) (EUR million/year) [Province] is 6037.01. The primary sector share of total GVA/year [Province] is 0.07%. The secondary sector share of total GVA/year [Province] is 36.00%. The tertiary sector share of total GVA/year [Province] is 63.92%. The per capita income (EUR/year) [Region] is 18518.64. The total Gross Value Added (GVA) (EUR million/year) [Region] is 40269.69. The primary sector share of total GVA/year [Region] is 1.25%. The secondary sector share of total GVA/year [Region] is 27.14%. The tertiary sector share of total GVA/year [Region] is 71.61%.,"Deutsche Mark, Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q16068, http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","official currency of West Germany and later Germany from 1948 to 2002|average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","https://upload.wikimedia.org/wikipedia/commons/b/b8/1_mark_brd_1967_retouched.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2577. The regional (Region) share of total BPs/year is 0.66%. The number of agricultural holdings in the LAU is 330. The nearest settlement with population over 100000 (km) is 36.3. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 0.91%. The secondary sector share of total employment/year [Province] is 29.09%. The tertiary sector share of total employment/year [Province] is 70.00%. The primary sector share of total employment/year [Region] is 3.13%. The secondary sector share of total employment/year [Region] is 20.10%. The tertiary sector share of total employment/year [Region] is 76.76%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Caerphilly cheese was first made in Caerphilly in 1830.Caerphilly cheese is mass produced in English counties of Somerset and Wiltshire, however Castle Dairies began to make the cheese once again in Caerphilly using pre-war production techniques (i.e., by hand). Caerphilly town hosts an annual three-day festival to celebrate the cheese (The Big Cheese). This attracts 80,000 visitors annually. Variants of Caerphilly cheese (i.e., Gorwydd) have won gold awards at the International Cheese Awards. Important for territorial identity (festival, culture in Caerphilly itself). New (in the form of old and traditional pre-war) processes are made to create local Caerphilly cheese. There is also a greater link and ties made to the area of Caerphilly (i.e., with the festival and PGI).","Caerphilly, England, Somerset, Wiltshire, International Cheese Awards, Caerphilly cheese, Protected Geographical Indication","http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q21, http://www.wikidata.org/entity/Q23157, http://www.wikidata.org/entity/Q23183, http://www.wikidata.org/entity/Q6049165, http://www.wikidata.org/entity/Q1025407, http://www.wikidata.org/entity/Q363268","town and community in Wales|country in north-west Europe, part of the United Kingdom|ceremonial county of England (use Q21694741 for administrative non-metropolitan county)|ceremonial county of England (use Q21694746 for administrative unitary authority)|international cheese competition|Welsh cheese|quality policy of the European Union for food","https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/England_satellite_image.png,https://upload.wikimedia.org/wikipedia/commons/0/08/Roman_Baths_in_Bath_Spa%2C_England_-_July_2006.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cherhillwhitehorse.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a7/Caerphilly_cheese.jpg,null","51.578 -3.218,53 -1,51.3 -3,51.3 -1.9,53.0688 -2.5421,null,null"
Key local assets,"Relies on/ creates natural, social and cultural local assets. In terms of natural assets Caerphilly cheese relies on land that is suitable for dairy cattle. There are also connections to natural scenery assets as a base for the tourism from the annual Big Cheese festival. In terms of social assets, the Big Cheese fetival relies on strong community relations within caerphilly. For cultural assests, there is a reliance on local and traditional knowledge for undertaking tradional (but innovative) processing of Caerphilly cheese. There is also a lot of cultural heritage tied into the brand, even from those made in England. There are links to the cultural history of Caerphilyl as the cheese was orignally made for local coal minres. PGI status also for Welsh spelling of the term linking again to cultural assets. ","Caerphilly, England, Welsh language, Caerphilly cheese, Dairy cattle, Tourism, Cultural heritage, Coal mining, Protected Geographical Indication, Wales","http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q21, http://www.wikidata.org/entity/Q9309, http://www.wikidata.org/entity/Q1025407, http://www.wikidata.org/entity/Q2915, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q210272, http://www.wikidata.org/entity/Q12880211, http://www.wikidata.org/entity/Q363268, http://www.wikidata.org/entity/Q25","town and community in Wales|country in north-west Europe, part of the United Kingdom|Brittonic language spoken natively in Wales|Welsh cheese|domesticated bovine raised primarily for its milk|travel for pleasure or business|physical artifact or intangible attribute of a society inherited from past generations|process of getting coal out of the ground|quality policy of the European Union for food|country in north-west Europe, part of the United Kingdom","https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/England_satellite_image.png,https://upload.wikimedia.org/wikipedia/commons/4/42/Red.Book.of.Hergest.facsimile.png,https://upload.wikimedia.org/wikipedia/commons/a/a7/Caerphilly_cheese.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Poperinge_Proven_Blekerijweg_Knotbomenrij_%282%29_-_192821_-_onroerenderfgoed.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,https://upload.wikimedia.org/wikipedia/commons/4/43/Peru_Machu_Picchu_Sunrise.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/0_Frameries_-_Charbonnage_de_Crachet_Picquery_%281%29.JPG,null,https://upload.wikimedia.org/wikipedia/commons/b/b8/Arthog_-_Barmouth_Bridge_-_20070915150033.jpg","51.578 -3.218,53 -1,52.1 -3.8,null,null,null,null,null,null,52.35 -3.6333333333333"
Challenges,"Relies partly on tourism to areas, so difficult during COVID. Lots of the cheese is now made in England so threat to territorial identity if the local Caerphilly producers cannot compete/ continue. Pre-war techniques of local Cerphilly producers more expensive that mass production methods. Overall the type of challenge faced by this VC is Current and predicted. This VC is classified as Traditional and Innovative.","England, Caerphilly, Tourism, COVID-19 pandemic, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q21, http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q81068910, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","country in north-west Europe, part of the United Kingdom|town and community in Wales|travel for pleasure or business|pandemic caused by SARS-CoV-2 (2019–2023)|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/b/b1/England_satellite_image.png,https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,https://upload.wikimedia.org/wikipedia/commons/f/f6/Covid-19_SP_-_UTI_V._Nova_Cachoeirinha.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","53 -1,51.578 -3.218,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Most non-local Caerphilly cheese is made using factory and machine-based methods. However, the innovative aspect of locally-based Caerphilly cheese is actually the re-engagement with traditional pre-war cheesemaking processes in which the cheese is made by hand. It is also innovative in its return to making the cheese within the town and surronding area of Caerphilly. The innovation is related to New processes and New marketing strategies. The land use systems involved are Grassland. The local assets include Natural, Social and Cultural.","Caerphilly, Value chain, Caerphilly cheese, Grassland, Natural environment, Social capital, Culture, Marketing strategy","http://www.wikidata.org/entity/Q909119, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q1025407, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q11042, http://www.wikidata.org/entity/Q1363963",town and community in Wales|functions of a company affecting its costs and quality and give it a competitive advantage|Welsh cheese|area with vegetation dominated by grasses|all living and non-living things occurring naturally on Earth or some region thereof|sociology concept|shared aspects of a society's way of life|business strategy for marketing and advertising,"https://upload.wikimedia.org/wikipedia/commons/5/59/Castell_Caerffili_o%27r_awyr_-_aerial_%28drone%29_view_of_Caerphilly_Castle_-_2023_04.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a7/Caerphilly_cheese.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png","51.578 -3.218,null,null,null,null,null,null,null"
