title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
LIVE SHEEP and LAMBS FOR SLAUGHTER,"The MOVING reference member state of this VC (Value Chain) is ROMANIA. The reference MOVING Card ID of this VC is VC 08 RO. Specialist trading companies such as 'Seradria' have a network of partners managing collection points in the main sheep producing regions in Romania. 'Seradria' has annual capacity to expert up to 150,000 live animals per year (including cattle and bulls for breeding). Collection points include 'Agratransilvania' in the commune of Caţa in Braşov county (https://agratransilvania.ro). There is a clear distinction between the value chains for sheep and those for lambs. Most sheep are exported to the Middle East (Libya and Jordan) with a particular focus upon the Islamic ritual called Eid al-Adha (the 'Festival of the Sacrifice'). Exports of live lambs are targetted more at EU countries - notably Greece and Italy. For more information see here: https://seradria.com/blog/romania-europes-largest-live-sheep-exporter-who-buys-most-of-our-sheep.html Exports are authorised by the Romanian sanitary veterinary authorities who aim to ensure that: All livestock accomodation is in accordance with EU welfare standards; Sanitary and veterinary certificates are available, and; Effective traceability systems are in place.","Romania, Cața, Brașov County, Middle East, Libya, Jordan, Islam, Eid al-Adha, Greece, Italy, European Union","http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q1070994, http://www.wikidata.org/entity/Q182614, http://www.wikidata.org/entity/Q7204, http://www.wikidata.org/entity/Q1016, http://www.wikidata.org/entity/Q810, http://www.wikidata.org/entity/Q432, http://www.wikidata.org/entity/Q514400, http://www.wikidata.org/entity/Q41, http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q458","country in Southeast Europe|commune in Brașov County, Romania|county in Romania|geopolitical region encompassing Egypt and most of Western Asia, including Iran|sovereign state in North Africa|country in West Asia|monotheistic Abrahamic religion founded by Muhammad|Islamic holiday on the tenth day of Dhu al-Hijja|country in Southeast Europe|country in southern Europe|political and economic union of 27 European states","https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Dr%C4%83u%C8%99eni_-_vedere_de_ansamblu_asupra_bisericii_evanghelice_fortificate..jpg,null,https://upload.wikimedia.org/wikipedia/commons/6/63/Colorful_shaded_map_of_Middle_East.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Tripoli_at_night.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/17_Dead_Sea_%2813%29_%2813252089754%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Mosque.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Jiangwan_Mosque_-_Eid_Al-Adha.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9e/The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Colosseo_2020.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/EU_on_a_globe.svg","46 25,46.0905 25.2803,45.79 25.28,28 45,27 17,31.2 36.5,null,null,38.5 23,42.5 12.5,50.116944444444 9.2477777777778"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Southern Romanian Carpathian Mountains. The reference mountain landscape of this VC is Caţa commune in Braşov County (RO122). Braşov county is a hilly mountainous region (500 - 2000 metres altitude) located in the south-eastern part of Transylvania. The relief is a diverse mix of mountainous (35%), hilly (50%) and lower altitude plain areas (15%) with an associated land use of forests (mainly in the mountain areas), permanent grasslands (mainly in the hilly areas), cultivated arable fields (in the hilly areas and lower altitude plains and hill areas) plus some urban, industrial and water surfaces (lakes and reservoirs).","Southern Carpathians, Cața, Brașov County, Transylvania, Carpathian Mountains, Romania, Forest, Grassland, Arable land, Lake, Reservoir","http://www.wikidata.org/entity/Q217202, http://www.wikidata.org/entity/Q1070994, http://www.wikidata.org/entity/Q182614, http://www.wikidata.org/entity/Q39473, http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q843920, http://www.wikidata.org/entity/Q23397, http://www.wikidata.org/entity/Q131681","group of mountain ranges located in southern Romania|commune in Brașov County, Romania|county in Romania|historical region in the northwestern part of Romania|mountain range in Central and Eastern Europe|country in Southeast Europe|dense collection of trees covering a relatively large area|area with vegetation dominated by grasses|land capable of being ploughed and used to grow crops|body of relatively still water, localized in a basin|artificial lake impounded using a dam or lock to store water","https://upload.wikimedia.org/wikipedia/commons/7/73/Varful-Moldoveanu-scenery.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Dr%C4%83u%C8%99eni_-_vedere_de_ansamblu_asupra_bisericii_evanghelice_fortificate..jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/aa/Bran_castle_%2847626731362%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/Manure_spreader_Record.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Gentau_Pic_du_Midi_Ossau.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Awyrlun_o_Lyn_Efyrnwy_%28Llyn_Llanwddyn%29_-_Aerial_Image_of_Llyn_Efyrnwy_%28lake_Vyrnwy%29_in_Novemebr_2022_29.png","45.6 24.73,46.0905 25.2803,45.79 25.28,46.766666666667 23.583333333333,47 25.5,46 25,null,null,null,null,null"
Geography and population,The size of the area (km2) is 119.7. The minimum altimetry of the LAU (Local Administrative Unit) is unspecified. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 2.767. The population density (Inhabitants/km2) in the LAU is 23.12. The population change rate of the LAU in the last 10 years (%) is unspecified. The overall regional population density (Inhabitants/km2) is 68.2. The regional population change rate in the last 10 years (%) has been -0.90%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 12600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 6259.84. The primary sector share of total GVA/year [Province] is 2.40%. The secondary sector share of total GVA/year [Province] is 35.80%. The tertiary sector share of total GVA/year [Province] is 61.80%. The per capita income (EUR/year) [Region] is 10000. The total Gross Value Added (GVA) (EUR million/year) [Region] is 21007.63. The primary sector share of total GVA/year [Region] is 4.40%. The secondary sector share of total GVA/year [Region] is 38.20%. The tertiary sector share of total GVA/year [Region] is 57.40%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 17795. The regional (Region) share of total BPs/year is 39.20%. The number of agricultural holdings in the LAU is 47980. The nearest settlement with population over 100000 (km) is unspecified. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 8.80%. The secondary sector share of total employment/year [Province] is 40.30%. The tertiary sector share of total employment/year [Province] is 51.20%. The primary sector share of total employment/year [Region] is 9.90%. The secondary sector share of total employment/year [Region] is 42.20%. The tertiary sector share of total employment/year [Region] is 48.00%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Romania is Europe's largest exporter of live sheep and lambs for slaughter with an estimated market value of 175 million EUR / year. This is an important value chain for sheep farmers in the Carpathians, especially for supporting the finacial viability of many small farms and thereby ensuring their continued existence and contribution to the maintenance of the traditional farming practices that are important for biodiversity conservation and the valued mountain landscapes.","Romania, Europe, Carpathian Mountains, Sheep, Lamb, Biodiversity conservation","http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q46, http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q7368, http://www.wikidata.org/entity/Q366735, http://www.wikidata.org/entity/Q641498","country in Southeast Europe|terrestrial continent located in north-western Eurasia|mountain range in Central and Eastern Europe|domesticated ruminant bred for meat, wool, and milk|Wikimedia disambiguation page|study of threats to biological diversity","https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Europe_satellite_orthographic.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg,null,null","46 25,48.690959 9.14062,47 25.5,null,null,null"
Key local assets,The live sheep and lambs collected from local farms for export are usually from the most two common breeds found in the Carpathians - the Tsurcana breed (a traditional indigenous breed that was favoured by Romanian transhumance shepherds and is still very popular in mountain villages) and the Tsigai breed (a more recently introduced breed that is more common in the hilly sub-mountainous areas of the Carpathians). ,"Carpathian Mountains, Romania, Tsigai, Sheep, Lamb, Transhumance","http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q867253, http://www.wikidata.org/entity/Q7368, http://www.wikidata.org/entity/Q366735, http://www.wikidata.org/entity/Q4657754","mountain range in Central and Eastern Europe|country in Southeast Europe|sheep breed|domesticated ruminant bred for meat, wool, and milk|Wikimedia disambiguation page|periodic migration of livestock between winter and summer pastures. UNESCO intangible cultural heritage","https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Cig%C3%A1ja4.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg,null,https://upload.wikimedia.org/wikipedia/commons/2/25/Transumanza_nel_Parc_National_des_Ecrins.jpg","47 25.5,46 25,null,null,null,null"
Challenges,"The live export of sheep and lambs is highly controversial because of the animal welfare issues associated with transporting live animals over long distances. This tragically was brought to the attention of the global media in November 2019 when a cargo ship carrying almost 15,000 sheep capsized in the Black Sea shortly after leaving Romania for Saudi Arabia - for more details see here: https://www.nytimes.com/2019/11/24/world/europe/romanian-sheep-cargo-ship.html. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.","Black Sea, Romania, Saudi Arabia, Sheep, Lamb, Animal welfare, Cargo ship, Venture capital, Tradition","http://www.wikidata.org/entity/Q166, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q851, http://www.wikidata.org/entity/Q7368, http://www.wikidata.org/entity/Q366735, http://www.wikidata.org/entity/Q459426, http://www.wikidata.org/entity/Q105999, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821","sea between Europe and Asia|country in Southeast Europe|country in West Asia|domesticated ruminant bred for meat, wool, and milk|Wikimedia disambiguation page|well-being of non-human animals|ship that carries cargo, goods, and materials onboard from one port to another|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations","https://upload.wikimedia.org/wikipedia/commons/f/fb/Black_Sea_Nasa_May_25_2004.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Arabian_Desert.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/7/7e/Colombo.Express.wmt.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg","43.41 34.26,46 25,23.716667 44.116667,null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Live sheep and lambs collected from local farms.,"Grassland, Value chain, Innovation, Sheep, Lamb, Farm","http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q7368, http://www.wikidata.org/entity/Q366735, http://www.wikidata.org/entity/Q131596","area with vegetation dominated by grasses|functions of a company affecting its costs and quality and give it a competitive advantage|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|domesticated ruminant bred for meat, wool, and milk|Wikimedia disambiguation page|area of land for farming, or, for aquaculture, lake, river or sea, including various structures","https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,null,null,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg,null,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg","null,null,null,null,null,null"
