title,description
Pontepietra is a small organic farm that cultivates medicinal and aromatic herbs and practices the collection of wild herbs,The MOVING reference member state of this VC (Value Chain) is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 21 IT. An organic production of aromatic herbs and honey production. With this to simply products this small farm try to find an equilibrium between to be a small and produce very specific product as infusion herbs. They follow all the life cycle of the product from the seeds to the final infusion herbs box.
Mountain landscape and reference chains,"The reference mountain chain of this VC is Northern Apennines - Tuscan Emilian Apennines. The reference mountain landscape of this VC is Anghiari. Anghiari is a hill town and municipality of Arezzo Province, Tuscany Region - Italy. It is located about 30 Km East of Arezzo near the borders with Umbria region. Anghiari is considered as one of the most beautiful villages of Italy. It has a record of multiple typical products (agricultural and others)."
Geography and population,The size of the area (km2) is 130.92. The minimum altimetry of the LAU (Local Administrative Unit) is 298. The maximum altimetry of the LAU is 1379. The total population (in thousand) is 5.484. The population density (Inhabitants/km2) in the LAU is 41.88. The population change rate of the LAU in the last 10 years (%) has been -6.09%. The overall regional population density (Inhabitants/km2) is 160.64. The regional population change rate in the last 10 years (%) has been 0.48%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 28600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8824. The primary sector share of total GVA/year [Province] is 3.50%. The secondary sector share of total GVA/year [Province] is 33.77%. The tertiary sector share of total GVA/year [Province] is 62.73%. The per capita income (EUR/year) [Region] is 31400. The total Gross Value Added (GVA) (EUR million/year) [Region] is 105293.3. The primary sector share of total GVA/year [Region] is 2.38%. The secondary sector share of total GVA/year [Region] is 25.06%. The tertiary sector share of total GVA/year [Region] is 72.56%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 757. The regional (Region) share of total BPs/year is 0.13%. The number of agricultural holdings in the LAU is 453. The nearest settlement with population over 100000 (km) is 75. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.98%. The secondary sector share of total employment/year [Province] is 34.41%. The tertiary sector share of total employment/year [Province] is 60.61%. The primary sector share of total employment/year [Region] is 3.03%. The secondary sector share of total employment/year [Region] is 25.57%. The tertiary sector share of total employment/year [Region] is 71.22%.
Interest on this VC,"Organic farm that use the label 'Mountain Product' (Reg.(UE) n.1151/2012 and Reg.(UE) n.665/2014). Pontepietra is a small organic farm that take care to communicate that the most of the work is done by hand without machinery, 'why the herbal teas and herb salt preserve the flavors and properties that nature has given them'. This small farm have undestood that their weakness point could be a strenght point with a good comunication strategy. Pontepietra want bring the: 'uncontaminated nature, the flavors and smells of the Apennines to the city, respecting the values of quality, genuineness and sustainability'."
Key local assets,The brother Steinbruck want to see their hills bloom with a thousand different colors and scents thanks to the organic and natural cultivation of medicinal and aromatic herbs and make known the goodness of the wild herbs of the Apennines all over the world. 
Challenges,The brother Steinbruck want to see their hills bloom with a thousand different colours and scents thanks to the organic and natural cultivation of medicinal and aromatic herbs and make known the goodness of the wild herbs of the Apennines all over the world. Overall the type of challenge faced by this VC is Current. This VC is classified as Innovative.
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. New products and a comunication based on: Nature, sostenibility and quality. The innovation is related to New products and New marketing strategies. The land use systems involved are Natural land and aromatic herbs. The local assets include Natural."
Concluding remarks,The VC is present within the two mountain areas present in the Province (NUTS3)
