title,description
Pine Honey,"The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 11 TR. According to the 2020 TURKSTAT data, the number of enterprises engaged in beekeeping in Mugla is 4741 and the total number of hives is 900,583. It is the preferred region for migratory beekeepers. The beekeeping sector provides employment opportunities for many people."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Menteşe Mountains. The reference mountain landscape of this VC is Ula. Muğla province has a Mediterranean climate. It has excellent ecological conditions for agricultural production. Muğla has the longest coastline in Turkey. It is one of the most-visited tourist destinations for both foreign and domestic tourists, due to its unique nature and climate."
Geography and population,The size of the area (km2) is 479. The minimum altimetry of the LAU (Local Administrative Unit) is 600. The maximum altimetry of the LAU is 0. The total population (in thousand) is 26.058. The population density (Inhabitants/km2) in the LAU is 54.40083507. The population change rate of the LAU in the last 10 years (%) has been 11.18%. The overall regional population density (Inhabitants/km2) is 85.2. The regional population change rate in the last 10 years (%) has been 13.71%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 8500. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7265.2. The primary sector share of total GVA/year [Province] is 13.10%. The secondary sector share of total GVA/year [Province] is 22.70%. The tertiary sector share of total GVA/year [Province] is 60.10%. The per capita income (EUR/year) [Region] is 7300. The total Gross Value Added (GVA) (EUR million/year) [Region] is 20539.22. The primary sector share of total GVA/year [Region] is 13.50%. The secondary sector share of total GVA/year [Region] is 37.50%. The tertiary sector share of total GVA/year [Region] is 52.90%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 174249. The regional (Region) share of total BPs/year is 83.80%. The number of agricultural holdings in the LAU is 27000. The nearest settlement with population over 100000 (km) is 17. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is Medium. The secondary sector share of total employment/year [Province] is Low. The tertiary sector share of total employment/year [Province] is High. The primary sector share of total employment/year [Region] is 26.50%. The secondary sector share of total employment/year [Region] is 19.50%. The tertiary sector share of total employment/year [Region] is 54.00%.
Interest on this VC,"Turkey is an important pine honey producer and exporter. Pine honey has a regional reputation and has a Geographical Indication from the Turkish Patent and Trademark Office It is a high quality product. Pine honey can be stored for a long time without its texture being affected. Since the honey does not crystallize for a long time and has a functional food feature, it is wide scope for its use in the medicine and food sectors. Agriculture and tourism are closely interconnected in this area. Beekeeping is a traditional agricultural activity which is found in almost every region of Turkey. Organic honey production is encouraged with the projects developed in recent years."
Key local assets,Pine honey has been produced in this region for a long time. 75-80% of Turkey s pine honey is produced in Muğla Province. 68% of Muğla s land area is covered by forests and pine honey production takes place in only 8% of these forested areas. There are 385 forest villages in Muğla and 260 of these are pine honey production areas. 
Challenges,Honey yield is reduced when climatic conditions are unfavorable. Accommodation is a problem for migratory beekeeper. Young people are not much interest beekeeping. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Innovative.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. Organic and Rainforest Alliance certified tea increasing in the region. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural and cultural.
Concluding remarks,"90-92% of the world's pine honey is produced in Turkey. Different kinds of honey VC is also present in other MRLs in the Member States such as Switzerland, UK, Austria, Czech Republic, France, Greece, Hungary, Italy, North Macedonia, Romania, Serbia, Slovakia and Spain."
