title,description
"Raspberries produced in the area of Arilje region (western Serbia), PDO","The MOVING reference member state of this VC (Value Chain) is SERBIA. The reference MOVING Card ID of this VC is VC 14 SER. Arilje raspberry region covers Arilje and the villages of several bordering municipalities. It is located in the southwest of Serbia, fenced by the slopes of Zlatibor and Javor mountains and Požega and Dragačevo valleys. PDO and highly sought after product. Small producers with expert knowledge on how to cultivate and process the berries. VC dependendent on the local and natural conditions which are amply available but under threat of the effects of climate change, predomintantly drought, excessive rain, late season frost and hail storms. Strongly connected to local cultural traditions and important contributor to local culture. Important contributor to fruit production in Serbia and to export to other countries. New marketing strategies as well as innovative production and processing facilities could potentially contribute strongly to increased production and export."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Western Serbia, Dinaric Alps region. The reference mountain landscape of this VC is Dinarid mountains, mountain Kukutnica. Šumadija and Western Serbia, Dinaric Arc. Founded in 1880, Arilje is a town and municipality located in the Zlatibor District of southwestern Serbia. The population of the town is 6.763, while the municipality has 18.792 inhabitants, distributed over 22 settlement. Arilje town itself covers 3.94 km2, while the whole municipality is 349.06 km2. The town is famous for having large raspberry plantations in which many locals are employed. The municipality of Arilje is located in western Serbia in the river basins of the clear mountain rivers of the Rzav and Moravica. Near to Zlatibor, Arilje is cut by the Moravica, Veliki Rzav and Mali Rzav rivers. It has a hilly-mountainous area at an altitude of 330 to 1.382 meters. Soils are fertile and the climate is humid continental with warm summers and mild winters with potential fair amounts of snow."
Geography and population,The size of the area (km2) is 673. The minimum altimetry of the LAU (Local Administrative Unit) is 330. The maximum altimetry of the LAU is 1328. The total population (in thousand) is 17.70. The population density (Inhabitants/km2) in the LAU is 50.90. The population change rate of the LAU in the last 10 years (%) has been -5.55%. The overall regional population density (Inhabitants/km2) is 72. The regional population change rate in the last 10 years (%) has been 9.85%.
Income and gross value added,The average per capita income (EUR/year) [Province] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Province] is 1056.99. The primary sector share of total GVA/year [Province] is 10.09%. The secondary sector share of total GVA/year [Province] is 41.48%. The tertiary sector share of total GVA/year [Province] is 48.43%. The per capita income (EUR/year) [Region] is 23107.90. The total Gross Value Added (GVA) (EUR million/year) [Region] is 6880.31. The primary sector share of total GVA/year [Region] is 10.20%. The secondary sector share of total GVA/year [Region] is 36.86%. The tertiary sector share of total GVA/year [Region] is 52.94%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 78618. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 4306. The nearest settlement with population over 100000 (km) is 172. In this region protected areas are not present.
Employment,The primary sector share of total employment/year [Province] is 4.67%. The secondary sector share of total employment/year [Province] is 31.55%. The tertiary sector share of total employment/year [Province] is 63.79%. The primary sector share of total employment/year [Region] is 7.70%. The secondary sector share of total employment/year [Region] is 37.20%. The tertiary sector share of total employment/year [Region] is 55.10%.
Interest on this VC,"High quality product. Serbia is the biggest producer and biggest exporter of frozen rapsberries in the world. The raspberries from Arilje, Serbia, with its Protected Designation of Origin (PDO), are a synonym for quality and refined taste which can be attributed to the rich and fertile soil, favorable climatic conditions but also to them being grown in small family farms. Arilje is the location with the biggest concentration of farms, the highest revenue, the biggest cold storage, the best quality raspberries and the special culture of raspberry farming including methods to continously remove sprouts. Arilje raspberries are immediately frozen after picking and cleaning to conserve their freshness and ready them for further processing while increasingly raspberries are also produced to be sold as fresh or died products, adding more value. Serbia is one of the biggest producer and exporter of raspberries. The Arilje PDO is grown under favorable soil and climatic conditions on small farms, handpicked and with special methods for treatment and processing. It is a highly sought after product with much potential for expansion and improvement, contributing to improved local and regional socio-ecomic conditions and quality of life. Main threats are related to climate change but also VC organisation that is transparent, representative and allows for acknowledged fair contirbution of all players. New marketing strategies are needed to expand capacities to improve existing markets and to create and reach new ones."
Key local assets,Good soil and climate conditions. Strong local knowledge on how to cultivate and process the production. Connection with other berry producing areas in the region such as Bosnia-Herzegovina. 
Challenges,"Fruit production is a major provider of employment but fruit production in Serbia faces a number of problems ranging from outmigration of workers due to socio-economic conditions to problems posed by the effects of climate change. The biggest challenges production of all fruits in Serbia due to climate change faces are drought, excessive rain and flash floods, late season frost and hail storms. Often these extreme weather events follow each other in short succession thereby exacerbating the problems. While increasing temperatures can improve growth and quality of the fruits, water shortages pose serious problems for fruit growers. In addition, there are increased chances of pests due to existing ones or in the form of invasive species that are on the move due to climate change. Measures such as early warning systems, hail rockets, hail nets and irrigation systems are applied to combat these hazards but require substantial investments. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. With its substantial production volume and the fact that Serbia s fruit industry is one of the leading sectors of the Serbian economy, as well as a contributor to Serbian export, integration with EU and global markets is the logical next step. With growing investments in hi-tech orchards, climate change adaptation measures and logistics infrastructure, Serbia s modernised fruit production is on the rise and expected to increase in both volume and export. Important contributor so local employment and socio-economic development. The innovation is related to New products, New processes, New marketing strategies and New governance systems. The land use systems involved are Forestry and Natural land. The local assets include Natural, social and cultural."
