title,description
Iberian Ham (Jamón Ibérico) Protected Designation of Origin (PDO) - Los Pedroches,"The MOVING reference member state of this VC (Value Chain) is SPAIN UCO. The reference MOVING Card ID of this VC is VC 27 ES. To be labelled as PDO Los Pedroches, the pigs must be at least 75% Iberian breed and must graze extensively in the dehesa within the area of Los Pedroches with a maximum density of 12 pigs per hectare. There are three types of labels (black, red, and green), indicating the % of Iberian breed (75% or 100%) and the type of feeding (acornes/natural pastures or cereals/legums). Being completelly embedded in the High Nature Value (HNV) dehesa ecosytem, the quality of the final product depends on the wellbeing of the landscape."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Sierra Morena. The reference mountain landscape of this VC is Pozoblanco. It is the biggest and the most populated municipality of the northern area of Córdoba (NUTS3), and the economic and administrative capital of Los Pedroches region. It is covered by dehesa landscape of holm oak and cork oak which is used for extensive livestock, and also areas of agricultural crops."
Geography and population,The size of the area (km2) is 329.86. The minimum altimetry of the LAU (Local Administrative Unit) is 280. The maximum altimetry of the LAU is 726. The total population (in thousand) is unspecified. The population density (Inhabitants/km2) in the LAU is 52.16. The population change rate of the LAU in the last 10 years (%) has been -3.30%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) is unspecified.
Income and gross value added,The average per capita income (EUR/year) [Province] is 15648. The total Gross Value Added (GVA) (EUR million/year) [Province] is 13153.1. The primary sector share of total GVA/year [Province] is 10.50%. The secondary sector share of total GVA/year [Province] is 17.61%. The tertiary sector share of total GVA/year [Province] is 71.89%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is unspecified. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 181. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is unspecified. The nearest settlement with population over 100000 (km) is 70.6. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 13.80%. The secondary sector share of total employment/year [Province] is 17.10%. The tertiary sector share of total employment/year [Province] is 57.00%. The primary sector share of total employment/year [Region] is unspecified. The secondary sector share of total employment/year [Region] is unspecified. The tertiary sector share of total employment/year [Region] is unspecified.
Interest on this VC,High quality product with great embeddedness in the dehesa social-ecological-system. The PDO represents quality assurance and territorial identity of the product. The iberian ham is one of the significant traditional food products nationwide. This VC is a key element for the sustainability of dehesa ecosystem. . E-commerce and processing plants to enhance their marketing strategies and to access the international markets.
Challenges,"1) Increasing the recognition of the Spanish Iberian ham, and positioning it on international markets 2) High density of animals in some farms that may harm the dehesa ecosystem 3) Fungus Phytophthora that attacks holm and cork oaks, which are the two main tree species in the dehesa ecosystem 4) Digitalisation, from the use of remote sensors to control the number of animals (carrying capacity) to infrared systems to guarantee the origin and quality level of the product (cebo, recebo, acorn). Digitalisation can play a fundamental role in controlling the traceability of the product as a guarantee of its quality. The sustainability of the dehesa, the basis of this value chain, is also supported by digitalisation, with early detection systems for pests and diseases or acorn harvesting forecasting based on remote sensors. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The main innovation of this VC is the use of e-commerce for their sales. In addition, they have one of the few meat processing plants that certifie to export to USA. The innovation is related to New processes and New marketing strategies. The land use systems involved are Cropland, Grassland, Forestry, Natural land and Animal skin / leather. The local assets include Natural and cultural."
Concluding remarks,"The VC is present in the following municipalities: Alcaracejos (14003), Añora (14006), Belalcazar (14008), Belmez (14009), Cardeña (14016), Conquista (14020), Dos Torres (14023), El Guijo (14034), El Viso (14074), Espiel (14026), Fuente Obejuna (14029), Hinojosa del Duque (14035), La Granjuela (14032), Los Blazquez (14011), Pedroche (14051), Peñarroya- Pueblonuevo (14052), Pozoblanco (14054), Santa Eufemia (14061), Torrecampo (14062), Valsequillo (14064), Villanueva de Córdoba (14069), Villanueva del Rey (14071), Villanueva del Duque (14070)."
