title,description
Beef cattle breeding in mountains,"The MOVING reference member state of this VC (Value Chain) is SLOVAKIA. The reference MOVING Card ID of this VC is VC 05 SK. Key activities: cattle breeding, meat processing. Key actors: farmers. Local and regional impact of VC - pasture land maintenance ."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Slovak Carpathians. The reference mountain landscape of this VC is Važec. The Važec is lined by the highest Slovak mountains, 'Vysoké Tatry.' The municipality includes a karst cave declared as a National Natural Monument with guided visits for the public; there is also a ski areal for winter skiing. Due to the local landscape attractiveness, there are numerous accommodation facilities for visitors. The municipality has good access by train, buses and nearby highway."
Geography and population,The size of the area (km2) is 59.7. The minimum altimetry of the LAU (Local Administrative Unit) is 788. The maximum altimetry of the LAU is 895. The total population (in thousand) is 2.4. The population density (Inhabitants/km2) in the LAU is 40.23. The population change rate of the LAU in the last 10 years (%) has been 0.01%. The overall regional population density (Inhabitants/km2) is 102.4. The regional population change rate in the last 10 years (%) has been -0.02%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 14100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8774.7. The primary sector share of total GVA/year [Province] is 1.20%. The secondary sector share of total GVA/year [Province] is 49.83%. The tertiary sector share of total GVA/year [Province] is 48.97%. The per capita income (EUR/year) [Region] is 13100. The total Gross Value Added (GVA) (EUR million/year) [Region] is 15737.27. The primary sector share of total GVA/year [Region] is 2.82%. The secondary sector share of total GVA/year [Region] is 48.75%. The tertiary sector share of total GVA/year [Region] is 48.43%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 645. The regional (Region) share of total BPs/year is 0.36%. The number of agricultural holdings in the LAU is 4846. The nearest settlement with population over 100000 (km) is 139. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.00%. The secondary sector share of total employment/year [Province] is 37.00%. The tertiary sector share of total employment/year [Province] is 59.00%. The primary sector share of total employment/year [Region] is 4.00%. The secondary sector share of total employment/year [Region] is 37.00%. The tertiary sector share of total employment/year [Region] is 59.00%.
Interest on this VC,"Beef cattle breeding is together with sheep breeding the main activity on pasture land in mountain areas in Slovakia. Thus it contributes to pasture maintenance. There is an increasing number of farms converting their conventional production to an organic one. However, beef cattle breeding in the Slovak mountains is also facing numerous challenges."
Key local assets,Natural assets are agricultural land uses - grassland. Social assets are skills of farmers. 
Challenges,1) import of livestock products from other countries 2) lack of young farmers who would ensure continuity from one generation to the next 3) low salary for field workers 4) relatively low per capita consumption of beef meat in Slovakia. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as N/A.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural and social.
Concluding remarks,"Beef cattle breeding is to some extent present in all mountain NUTS3 in Slovakia: SK 022, SK 031, SK 032, SK 041, SK 042."
