title,description
Pumpkin seed products in Boldva,"The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 04 HU. Within a social employment programme, initiated by the local government, members of the local community (poor, unemployed, Roma) produce pumpkin seeds and process it into different products in a small, local processing plant, on environmentally friendly ways. The programme provides employment for disadvantaged people, uses cropland on a traditional, but environmentally friendly way and provides healthy food products to urban customers through short food chains."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Northern Medium Mountains. The reference mountain landscape of this VC is Boldva. Boldva village in Borsod-Abaúj-Zemplén county, Edelényi district. It is a settlement located in the northwestern part of the county, the closest bigger city Miskolc is 15 km away and Budapest is 196 km away."
Geography and population,The size of the area (km2) is 28. The minimum altimetry of the LAU (Local Administrative Unit) is 221. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 2.304. The population density (Inhabitants/km2) in the LAU is 82.29. The population change rate of the LAU in the last 10 years (%) has been -0.02%. The overall regional population density (Inhabitants/km2) is 83.54. The regional population change rate in the last 10 years (%) has been -0.07%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 6560. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5560. The primary sector share of total GVA/year [Province] is 3.88%. The secondary sector share of total GVA/year [Province] is 34.68%. The tertiary sector share of total GVA/year [Province] is 61.44%. The per capita income (EUR/year) [Region] is 11195. The total Gross Value Added (GVA) (EUR million/year) [Region] is 9488. The primary sector share of total GVA/year [Region] is 4.14%. The secondary sector share of total GVA/year [Region] is 33.47%. The tertiary sector share of total GVA/year [Region] is 62.38%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 0. The regional (Region) share of total BPs/year is 8.64%. The number of agricultural holdings in the LAU is 79. The nearest settlement with population over 100000 (km) is 15. In this region protected areas are not present.
Employment,The primary sector share of total employment/year [Province] is 3.89%. The secondary sector share of total employment/year [Province] is 40.14%. The tertiary sector share of total employment/year [Province] is 55.97%. The primary sector share of total employment/year [Region] is 3.89%. The secondary sector share of total employment/year [Region] is 40.14%. The tertiary sector share of total employment/year [Region] is 55.97%.
Interest on this VC,"In addition to other vegetables and herbs, peeled seedless pumpkins began to be grown in Boldva, in the framework in a public employment based social enterprise, giving livelihood to poor, disadvantaged social groups (mainly Roma). A small processing plant, including high tech solar drying equipment was built, branding, design, a small shop was developed and short food chains approached with the products in the area. The municipality initiated this project, which is not common, there is a high level of co-operation and community spirit in the village in the framework of a social enterprise. The products are traditional, however, well designed and packaged for wealthy customers, sold through short chains. They imply solar energy during production and processing and use social networks and ICT for marketing."
Key local assets,"The VC uses the natural resources of the area, they cultivate a pumpkin plantation to produce raw material for the pumpkin seed oil and also produce herbs. The cooperation within the village, the support of the local authority, the local human resources are cornerstones of the project. They have become part of the local territorial quality assurance system. "
Challenges,"Challenges in connection with climate change (draughts, extreme weather events, etc.) and the potentially less yield due to these issues. Difficulties of working with disadvantaged social groups and continouosly changing policy environment. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. The municipality s program provides jobs for locals and produces high-quality products that are sold through both short and long supply chains. They use solar energy for drying. The design of the products is beautiful and demanding. The project is the mayor's initiative and is implemented with the locals - the innovation is endogenous. However, the financial support that enabled the process was coming from the government, through an employment programme. The innovation is related to New products, New processes, New marketing strategies and New governance systems. The land use systems involved are Cropland. The local assets include Natural, social and cultural."
Concluding remarks,The initiative is part of the local territorial quality mark system.
