title,description
"Honey, including millefiori of alpine flora, and jams","The MOVING reference member state of this VC (Value Chain) is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 53 IT. The farm has the following mountain products in production: honey from dandelion, acacia, lime and chestnut trees, wildflower and wildflower of alpine flora honey, which received the award Una goccia d oro for the category ' high mountain wildflower ; in addition to these, they produced propolis, royal jelly and jams from various fruits."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Southern Alps - Brescia Prealps. The reference mountain landscape of this VC is Muscoline. Muscoline is a municipality in the Italian province of Brescia, Lombardy. Located about 30 km East of chief city Brescia and 12 Km West of Garda lake."
Geography and population,The size of the area (km2) is 10.08. The minimum altimetry of the LAU (Local Administrative Unit) is 178. The maximum altimetry of the LAU is 356. The total population (in thousand) is 2.653. The population density (Inhabitants/km2) in the LAU is 263.19. The population change rate of the LAU in the last 10 years (%) has been 7.47%. The overall regional population density (Inhabitants/km2) is 419.79. The regional population change rate in the last 10 years (%) has been 4.06%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 34200. The total Gross Value Added (GVA) (EUR million/year) [Province] is 38865.6. The primary sector share of total GVA/year [Province] is 2.29%. The secondary sector share of total GVA/year [Province] is 32.63%. The tertiary sector share of total GVA/year [Province] is 65.08%. The per capita income (EUR/year) [Region] is 39100. The total Gross Value Added (GVA) (EUR million/year) [Region] is 352980.4. The primary sector share of total GVA/year [Region] is 1.09%. The secondary sector share of total GVA/year [Region] is 26.73%. The tertiary sector share of total GVA/year [Region] is 72.18%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 45. The regional (Region) share of total BPs/year is 0.01%. The number of agricultural holdings in the LAU is 87. The nearest settlement with population over 100000 (km) is 31. In this region protected areas are not present.
Employment,The primary sector share of total employment/year [Province] is 2.54%. The secondary sector share of total employment/year [Province] is 34.79%. The tertiary sector share of total employment/year [Province] is 62.67%. The primary sector share of total employment/year [Region] is 1.27%. The secondary sector share of total employment/year [Region] is 26.24%. The tertiary sector share of total employment/year [Region] is 72.49%.
Interest on this VC,"The farm and its hives are located at high altitude, on the Maniva pass, where the bees produce many varieties of honey, also awarded in the competition Grandi mieli d Italia. The innovation start to spread also in this very traditional value chain."
Key local assets,"The kye assets for this VC are the plant and tree species growing spontaneously in the area (chestnut tree, wildflowers etc) as well as the beekeepers knowledge. "
Challenges,"Today the farm has more than sixty hives with which characteristic honeys of the mountain area are produced, as well as a cultivation of small fruits with which it produces jams. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland and Natural land. The local assets include Natural.
