title,description
Nivegy-valley artisan chese makers,"The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 23 HU. Three different cheese producers in Nivegy-valley micro-region. They produce high quality artisan cheese and milk products. They keep animals (goat/cow) and their products are marketed in SFC-s, restaurants, farmers markets, on-farm-sales and webshop delivery. Animal husbandry are traditional in this area, however, cheese-making, especially high quality, beautiful packaging and short supply chains, sales via the internet are innovative. They all use innovative tools, small machinery, solar power, ICT for marketing, etc. They are using the possibilities provided by the fastly developing tourism of the area on reflexive, flexible and successful ways."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Transdanubian mountains. The reference mountain landscape of this VC is Szentantalfa. Szentantalfa village is located in Veszprém county, in the Balatonfüred district. The nearest larger town (Veszprém) is 30 km away and the capital is 150 km away. There is a significant Nazarene community in the village. The age structure is very youngThe area is very favorable for wine production."
Geography and population,The size of the area (km2) is 7. The minimum altimetry of the LAU (Local Administrative Unit) is 307. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 0.483. The population density (Inhabitants/km2) in the LAU is 69.00. The population change rate of the LAU in the last 10 years (%) has been 0.13%. The overall regional population density (Inhabitants/km2) is 95.45. The regional population change rate in the last 10 years (%) has been -0.04%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 3877. The total Gross Value Added (GVA) (EUR million/year) [Province] is 3286. The primary sector share of total GVA/year [Province] is 4.99%. The secondary sector share of total GVA/year [Province] is 27.78%. The tertiary sector share of total GVA/year [Province] is 67.22%. The per capita income (EUR/year) [Region] is 14578. The total Gross Value Added (GVA) (EUR million/year) [Region] is 12355. The primary sector share of total GVA/year [Region] is 4.78%. The secondary sector share of total GVA/year [Region] is 38.97%. The tertiary sector share of total GVA/year [Region] is 56.24%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 0. The regional (Region) share of total BPs/year is 10.03%. The number of agricultural holdings in the LAU is 74. The nearest settlement with population over 100000 (km) is 26. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.47%. The secondary sector share of total employment/year [Province] is 42.86%. The tertiary sector share of total employment/year [Province] is 52.67%. The primary sector share of total employment/year [Region] is 4.47%. The secondary sector share of total employment/year [Region] is 42.86%. The tertiary sector share of total employment/year [Region] is 52.67%.
Interest on this VC,"Three different cheese producers in Nivegy-valley micro-region. They produce high quality artisan cheese and milk products. They keep animals (goat/cow) and their products are marketed in SFC-s, restaurants, farmers markets, on-farm-sales and webshop delivery. Quality local products in a micro-region. Special design, short supply chain sales. High adaptability. There is also a cheese maker who, in addition to his family of 8, can also employ 2 employees - successful model."
Key local assets,"The cheese makers use local grasslands as a resource. Nearby the area (Lake Balaton, Káli Basin) there are a lot of tourists, which provides them good opportunity to sell their products. Some of them carry on the traditional animal husbandry activities of the area and the family in a modern way (marketing, new sales channels). They also have a good impact on the social environment, as they employ people. "
Challenges,"Climate change (warming, new pests, extreme weather conditions). Civilisation/urbanisation pressure on the Mountain landscape. During COVID, they have problems to sell cheese (lack of tourists, no events, no restaurants, hotels). They have lots of other challenges characteristic to very small producers in Hungary. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. Animal husbandry are traditional in this area, however, cheese-making, especially high quality, beautiful packaging and short supply chains, sales via the internet are innovative. All the three cheese-makers started from no experience with cheese, however two od them are from traditional peasent families. The third is from a city with no agricultural past. They all use innovative tools, small machinery, solar power, ICT for marketing, etc. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural, social and cultural."
