title,description
Mountain wool for Harris tweed - Western Isles (LAU1),"The MOVING reference member state of this VC (Value Chain) is SCOTLAND HUTTON. The reference MOVING Card ID of this VC is VC 16 UK. Harris tweed is produced solely on the LAU1 of Western Isles (or Na h-Eileanan Siar in Gaelic). Harris Tweed is a spun wool cloth used to make specialised clothing, shoes and carpets (for exmaple). According to the Harris Tweed Act, 1993, the cloth must be woven, finished and made in and from wool derived from the Outer Hebrides (western Isles LAU1). This Act has saefugarded Harris Tweeds name, quality and reputation. Harris Twweed is hand stamped with an Orb mark (of the Harris Tweed Authority). Three mills operate on the Western Isles. Most wool is grown on the UK mainland bt Harris wool is also used to create the mix. Strong links between VC and local cultural identity and boost for tourism in the LAU1, as well as a market for Western Isles' sheep farmers. Harris Tweed's annual output of £1-1.5 m supports employment of 220 weavers and 160 jobs in the wider industry."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Highlands and Islands (RR9); Highlands and Islands (NUTS2). The reference mountain landscape of this VC is Na h-Eileanan Siar. The Western Isles is a remote island group off the north-west of Scotland, which relies on ferry and air links to the mainland. Aside from the main town, Stornoway, the region has a very low population density and has suffered population loss over the last 10 years. The area has a Gaelic language and crofting heritage."
Geography and population,The size of the area (km2) is 3092.097685. The minimum altimetry of the LAU (Local Administrative Unit) is -6. The maximum altimetry of the LAU is 728. The total population (in thousand) is 26720. The population density (Inhabitants/km2) in the LAU is 8.64. The population change rate of the LAU in the last 10 years (%) has been -2.55%. The overall regional population density (Inhabitants/km2) is 11.44. The regional population change rate in the last 10 years (%) has been 1.52%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 20263.48. The total Gross Value Added (GVA) (EUR million/year) [Province] is 640.89. The primary sector share of total GVA/year [Province] is 4.59%. The secondary sector share of total GVA/year [Province] is 14.11%. The tertiary sector share of total GVA/year [Province] is 81.31%. The per capita income (EUR/year) [Region] is 21856.90. The total Gross Value Added (GVA) (EUR million/year) [Region] is 13770.61. The primary sector share of total GVA/year [Region] is 4.03%. The secondary sector share of total GVA/year [Region] is 27.20%. The tertiary sector share of total GVA/year [Region] is 68.77%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2407. The regional (Region) share of total BPs/year is 4.01%. The number of agricultural holdings in the LAU is 6293. The nearest settlement with population over 100000 (km) is 342. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 21.43%. The secondary sector share of total employment/year [Province] is 14.29%. The tertiary sector share of total employment/year [Province] is 64.29%. The primary sector share of total employment/year [Region] is 9.29%. The secondary sector share of total employment/year [Region] is 17.26%. The tertiary sector share of total employment/year [Region] is 73.45%.
Interest on this VC,Harris tweed is important for territorial identity of Western Isles. It is a highly reputable product with a legal act behind it. Strong connection to the natural asset - the land in the Western Isles.
Key local assets,"Harris tweed relies on maintaining the mountainous landscape so that sheep can continue to be kept on this land. Also natural assets such as scenery are also important for drawing visitors to the Western Isles. Cultural assets are important as tweed production relies on long-standing traditional methods of production, for both the wool sheering and the production of tweed. Also given that Harris tweed can only be produced on the Western Isles, this represents its importance as a cultural and social asset. Other Social assets include good relations with local farmers and processors of harris tweed. "
Challenges,"Although the majority of the wool for harris tweed comes from the UK mainland, maintenance of mountainous land mass in Wetern Isles for the additional harris wool into the mix is important. Thus maintaining land use important. Threats to exports and tourism due to Brexit and COVID. Threats of cheaper fraudulent copies of Harris Tweed being produced more cheaply. It is considered a sustainable industry due to its localised production methods and environmentally friendly methods too. Overall the type of challenge faced by this VC is Current and predicted. This VC is classified as Traditional."
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. This is a traditional VC as it uses long-standing traditions for gathering, making and processing the tweed. The innovation is related to the whole VC. The land use systems involved are Natural land. The local assets include Natural, social and cultural."
Concluding remarks,Harris tweed is unique to Western isles - it legally cannot be made elsewhere. Similar uses of wool are undertaken/ processed throughout the Member State including tartan production (another wool product) used for a range of items including kilts. Tartan is produced across the Highlands and Islands. Wool from Shetland (LAU1) has a PDO.
