title,description
Timber production in Slovak mountain forests,"The MOVING reference member state of this VC (Value Chain) is SLOVAKIA. The reference MOVING Card ID of this VC is VC 10 SK. Key activities: forest management, field works Key actors: forest owners, forest managers, field workers, public. Positive impact on local and regional SES is employment, added value to local and regional economy, landscape value, contributes to biodiversity and is in synergy with tourism."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Slovak Carpathians. The reference mountain landscape of this VC is Liptovský Ján. In the village, surroundings are numerous wood houses for renting to tourists around the whole year. The municipality is located in a hot spring area on the Jánská valley's edge below the Low Tatras. In winter, there are possibilities for skiing and cross-country skiing. The municipality also involves numerous caves."
Geography and population,The size of the area (km2) is 65. The minimum altimetry of the LAU (Local Administrative Unit) is 620. The maximum altimetry of the LAU is 2043. The total population (in thousand) is 1.097. The population density (Inhabitants/km2) in the LAU is 16.19. The population change rate of the LAU in the last 10 years (%) has been 0.23%. The overall regional population density (Inhabitants/km2) is 102.4. The regional population change rate in the last 10 years (%) has been -0.02%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 14100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8774.7. The primary sector share of total GVA/year [Province] is 1.20%. The secondary sector share of total GVA/year [Province] is 49.83%. The tertiary sector share of total GVA/year [Province] is 48.97%. The per capita income (EUR/year) [Region] is 13100. The total Gross Value Added (GVA) (EUR million/year) [Region] is 15737.27. The primary sector share of total GVA/year [Region] is 2.82%. The secondary sector share of total GVA/year [Region] is 48.75%. The tertiary sector share of total GVA/year [Region] is 48.43%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 1168. The regional (Region) share of total BPs/year is 0.64%. The number of agricultural holdings in the LAU is 4122. The nearest settlement with population over 100000 (km) is 162. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.00%. The secondary sector share of total employment/year [Province] is 37.00%. The tertiary sector share of total employment/year [Province] is 59.00%. The primary sector share of total employment/year [Region] is 4.00%. The secondary sector share of total employment/year [Region] is 37.00%. The tertiary sector share of total employment/year [Region] is 59.00%.
Interest on this VC,Forests cover over 40% of the Slovakian territory. Timber production is an essential element of forest management. For timber production is dedicated specific forest category 'Commercial forests' covering approximately 2/3 of the forest area. Timber production is an important activity in Slovakia.
Key local assets,Forest land dedicated for timber production. It is labelled as 'commercial forest'. 
Challenges,"1) climate change - on the one hand, forests are recognized to have high importance in helping to mitigate climate change. On the other hand, they are threatened by climate changes to which they may not be adapted. 2) pests and diseases - the most dangerous is currently the bark-beetle outbreak able to cause large-scale forest destruction 3) society acceptance of landscape visual change after timber harvest. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural.
Concluding remarks,"in all mountain NUTS3 in Slovakia: SK 022, SK 031, SK 032, SK 041, SK 042."
