title,description
Organic Farming,"The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 20 SCA. In this VC, producers, teachers, students and consumers are involved with different and complementary roles. This college has been boosting organic food production in Norway. All organic productions and markets must be certified by the national label Debio. The VC depends firstly on the natural ecosystem which offers the conditions for developing specific farming practices and productions. In addition, this VC has a lot to do with the social cohesion, cooperation and communication among farmers, academia, public administration and consumers."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Aurland. The MRL covers the Aurland Fiord and the Nærøyfjorden, which are both branches of the world's largest fiord, the Sognefjorden. The area is dominated by fiords and mountains. The Nærøyfjorden is part of The West Norwegian Fjords of Geirangefjord and Nærøyfjord UNESCO World Heritage Site. Most of the urban settlements are small villages in the shore of the fiords and on small river valleys. Aurland's coat of arms depicts a goat, representing the importance of these animals and the cheese made out of their milk for the cultural identity of the MRL."
Geography and population,The size of the area (km2) is 1467.7. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1809. The total population (in thousand) is 1.781. The population density (Inhabitants/km2) in the LAU is 1.21. The population change rate of the LAU in the last 10 years (%) has been 5.89%. The overall regional population density (Inhabitants/km2) is 23.99. The regional population change rate in the last 10 years (%) has been 9.68%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 53441.89. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5240.53. The primary sector share of total GVA/year [Province] is 7.22%. The secondary sector share of total GVA/year [Province] is 35.46%. The tertiary sector share of total GVA/year [Province] is 57.32%. The per capita income (EUR/year) [Region] is 36281.69. The total Gross Value Added (GVA) (EUR million/year) [Region] is 44203.49. The primary sector share of total GVA/year [Region] is 4.16%. The secondary sector share of total GVA/year [Region] is 26.56%. The tertiary sector share of total GVA/year [Region] is 79.88%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 5001. The regional (Region) share of total BPs/year is 15.93%. The number of agricultural holdings in the LAU is 2792. The nearest settlement with population over 100000 (km) is 168. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 5.15%. The secondary sector share of total employment/year [Province] is 29.20%. The tertiary sector share of total employment/year [Province] is 63.69%. The primary sector share of total employment/year [Region] is 2.75%. The secondary sector share of total employment/year [Region] is 21.82%. The tertiary sector share of total employment/year [Region] is 75.43%.
Interest on this VC,"Organic farming that integrates vegetables and grain production together with cattle livestock. In the college they do research, they teach traditional and innovative techniques, and they also cooperate with numerous Norwegian organisations."
Key local assets,"Organic production in small scale farms is based on strong values, concerning sustainability with special care for the soil and natural ecological processes. Another important aspect is the knowledge sharing that occurs around this VC and the bridges between academia and practitioners. "
Challenges,1) To scale up and encourage more producers and consumers to engage with organic farming and products. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. This VC integrates education with organic food production. The Sogn Jord- og Hagebruksskule is a college in organic agriculture. They have a farm and also processing installations to produce elaborated products such as cheese, butter, and sour cream. Besides the college and the farm, they also have a store to sell their own producs together with other organic products from outside. They have played an important role in developing new knowledge arournd organic farming, and also networking among farmers and local community. The innovation is related to New processes. The land use systems involved are Cropland and Grassland. The local assets include Natural and social."
Concluding remarks,There are several organic farms along the Scandinavian mountains. An additional example of a diversified organic farm is located in Stjørdal (NO1714).
