title,description
Fresh Fruit (Grapes),"The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 05 TR. Approximately 4517 tons of grapes were produced in Elmalı in 2020. 45% of the grape production in Elmalı is fresh table grape, 40% wine grape and 15% dried grape. There are two main marketing channels used by grape growers. The grape growers have problems in marketing fresh table grapes. The growers prefer to sell directly to consumers in order to get a high price for fresh table grapes. The growers sell wine grapes to wine companies. The problem in the grape value chain can be seen in the marketing of fresh grapes. One of the negative aspects of the value chain is that the grapes produced are supplied to the market without being processed. Also, it is observed that the grape growers in Elmalı do not have a farmer organization. On the other hand, the fact that the grape grown in the region is a quality and special variety is an important opportunity to improve the value chain."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Bey mountains, Antalya. The reference mountain landscape of this VC is Elmalı. Elmalı is a town and district in Antalya Province, the Mediterranean region of Turkey. It lies about 35 km (22 mil) inland, near the town of Korkuteli and 110 km (68 mil) west of the city of Antalya. In 2020, the population for the whole district was 39365. Elmalı is a small plateau at the head of a long upland valley in the Beydağları range of the western Taurus Mountains, surrounded by high peaks including the 2500m Elmalı Mountain. Aside from the town of Elmalı, the district includes two other small towns (Akçay and Yuva) as well as villages. The area is watered by streams running off the mountains. Although close to the Mediterranean, Elmalı is high in the mountains and has an inland climate of cold winters and hot summers, (although still much cooler than the coast). Near to Lake Avlan there is an area of cedar forest, rare in Turkey (Wikipedia,2021)."
Geography and population,The size of the area (km2) is 1658. The minimum altimetry of the LAU (Local Administrative Unit) is 1150. The maximum altimetry of the LAU is 2503. The total population (in thousand) is 39.365. The population density (Inhabitants/km2) in the LAU is 23.74. The population change rate of the LAU in the last 10 years (%) has been 4.26%. The overall regional population density (Inhabitants/km2) is 89.5. The regional population change rate in the last 10 years (%) has been 21.23%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 9553.01. The total Gross Value Added (GVA) (EUR million/year) [Province] is 22425.1. The primary sector share of total GVA/year [Province] is 8.20%. The secondary sector share of total GVA/year [Province] is 19.30%. The tertiary sector share of total GVA/year [Province] is 69.00%. The per capita income (EUR/year) [Region] is 8881.82. The total Gross Value Added (GVA) (EUR million/year) [Region] is 25421.01. The primary sector share of total GVA/year [Region] is 9.80%. The secondary sector share of total GVA/year [Region] is 21.30%. The tertiary sector share of total GVA/year [Region] is 66.50%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 599838. The regional (Region) share of total BPs/year is 98.70%. The number of agricultural holdings in the LAU is 39533. The nearest settlement with population over 100000 (km) is 110. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is Medium. The secondary sector share of total employment/year [Province] is Low. The tertiary sector share of total employment/year [Province] is High. The primary sector share of total employment/year [Region] is 17.30%. The secondary sector share of total employment/year [Region] is 14.20%. The tertiary sector share of total employment/year [Region] is 68.40%.
Interest on this VC,"Elmalı is a district in Antalya that is famous for its vineyards. Elmalı is also one of Turkey's major grape production centers. Elmalı is especially famous for Tilki Kuyruğu grape variety (Vitis vinifera L.), which is an endemic species. Tilki Kuyruğu grape varieties grown in other regions of Turkey are white-colored, while Tilki Kuyrugu grape variety grown in Elmalı is only red-colored. The red-colored Tilki Kuyruğu grape is grown at an altitude of 1100 in Elmalı. Elmalı is one of the important settlements of the Lycian civilization in the ancient period. It is stated that Elmalı region, whose history dates back to 2000 BC, is the first wine production center of the world. Tilki Kuyruğu grapes are consumed both as fresh and as processed products such as wine and vinegar."
Key local assets,"Natural: The total area under grape cultivation in Elmalı is about 335 hectares. The average farm size per household is 0.4 hectares. Social: Grapes have been cultivated for a long time in Elmalı. The majority of grape growers are smallholder farms. The average age of the farmers engaged in grape farming is between 35-50. Currently, the number of farmers dealing with grape cultivation in the region is 223. Grape cultivation has been extended by community interactions. Cultural: Grapes are traditionally produced in the Elmalı. For this reason, it fully fits the definition of cultural heritage. Grape cultivation is transferred from families to children as a cultural heritage. "
Challenges,"The main problems faced by the grape growers are difficulties in finding markets and low productivity. Especially the grape growers face difficulties in marketing fresh table grapes. Therefore, they obtain low market prices for their products. Climate change and diseases have an effect on the decrease in productivity in grape cultivation. However, climate change has a greater impact on yields. There is an intensive labor requirement in grape cultivation. It is stated that the family labor of grape growers in Elmalı is insufficient. Besides, it is emphasized that the government support and incentives for the grape growers in the region are insufficient. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional."
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include Natural, social and cultural."
Concluding remarks,"One of the value chains that includes grapes is available in Switzerland's MRL (VC 24 CH2). The value chain in Elmalı district is partially similar to the value chain in Switzerland. Grape producers in the grape value chain in Switzerland sell their products directly to wine makers. On the other hand, grape growers in Elmalı sell 40% of the volume of grapes produced to wine companies. The common feature in both value chains is that the products are not processed by the grape growers."
