title,description
Salted cake made of leavened dough and covered with a cream-based mixture,The MOVING reference member state of this VC (Value Chain) is SWITZERLAND 2. The reference MOVING Card ID of this VC is VC 11 CH2. The cake is produced and sold directly by about fifteen bakers in the canton or in small local shops.
Mountain landscape and reference chains,"The reference mountain chain of this VC is Jura. The reference mountain landscape of this VC is Boécourt; Courrendlin; Courtételle; Haute-Sorne; Les Bois; Les Breuleux; Le Noirmont; Saignelégier. The MLR is a region composed of limestone rocks, which are permeable and have difficulty retaining water, forming a succession of shallow valleys and high plateaus. It is covered by forest and wooded pasture. Milk and cheese production are the first agricultural resource of the massif. Temperature vary strongly between summer and winter and the annual rainfall are abundant ( 1000 mm). Clock-making by farmers in the form of peasant clockmakers has been practiced since the Middle Ages and offers a cultural heritage to the region."
Geography and population,The size of the area (km2) is 20.61. The minimum altimetry of the LAU (Local Administrative Unit) is 415. The maximum altimetry of the LAU is 1293. The total population (in thousand) is 21.48. The population density (Inhabitants/km2) in the LAU is 104.23. The population change rate of the LAU in the last 10 years (%) has been 9.44%. The overall regional population density (Inhabitants/km2) is 193.02. The regional population change rate in the last 10 years (%) is unspecified.
Income and gross value added,The average per capita income (EUR/year) [Province] is 25902.92. The total Gross Value Added (GVA) (EUR million/year) [Province] is 79468.40. The primary sector share of total GVA/year [Province] is 1.43%. The secondary sector share of total GVA/year [Province] is 56.92%. The tertiary sector share of total GVA/year [Province] is 41.65%. The per capita income (EUR/year) [Region] is 26160.99. The total Gross Value Added (GVA) (EUR million/year) [Region] is 127943.40. The primary sector share of total GVA/year [Region] is 0.86%. The secondary sector share of total GVA/year [Region] is 38.65%. The tertiary sector share of total GVA/year [Region] is 60.49%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 428. The regional (Region) share of total BPs/year is 0.46%. The number of agricultural holdings in the LAU is 227. The nearest settlement with population over 100000 (km) is 73. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 5.69%. The secondary sector share of total employment/year [Province] is 52.90%. The tertiary sector share of total employment/year [Province] is 41.41%. The primary sector share of total employment/year [Region] is 4.63%. The secondary sector share of total employment/year [Region] is 23.61%. The tertiary sector share of total employment/year [Region] is 71.57%.
Interest on this VC,"The cake has a strong terrirotial identitity, being considered as a traditional speciality form the Jura canton, consumed extensively during local festivals. It is produced from flour and cream, made from the abundant dairy resources in the region."
Key local assets,"Before refrigerators, the acidification of cream was done without human intervention. The raw milk was stored in a cool place for several days. The cream would rise to the surface and, as it aged, acquire a sour taste through bacterial transformation. The recipe has maintained this old artisanal production technique which is a strong cultural asset. "
Challenges,No major challenges known. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland and Grassland. The local assets include Cultural.
