title,description
Artisanal beer from Stjordal,"The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 01 SCA. Although there are hundreds of ways to brew the local traditional beer, they all share a common feature, the smoky taste. The general process is as follows. First the grains are soaked and cleaned. Afterwards they are spread on a growing frame and they are moved by hand several times per day to keep the heat evenly distributed among the grains. Four days after, the grains are dried in the traditional Sainna (a fire drier with wooden planks with holes on top of which the grains are spread). Here is where the grains get the smoky flavour. Finally, after around eight days of hand work with the grains, they are ready to be brewed. Up to 22 beer breweries can be found in this municipality and also few malthouses. In addition, there is an annual beer festival where most of those hundreds of small brewers participate and the best Stjørdalsøl brewer is crowned."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Stjørdal. The MRL is crossed by the Stjørdalselva river until its arrival to the Trondheim fiord. The Eastern part of the municipality belongs to the Skarvan and Roltdalen National Park. Due to its proximity to Trondheim, the municipality is developing an urbanization process. Simultaneously, there are still multiple local VCs within the AUK - SMAKER FRA STJØRDALSFØRET, such as organic vegetable farming, family dairies, beekeeping , eggs, berry farms, traditional bakery, coffee distillery, and rural touristic accommodation. In addition, the valley has long tradition in beer brewing."
Geography and population,The size of the area (km2) is 938.27. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1171. The total population (in thousand) is 24.145. The population density (Inhabitants/km2) in the LAU is 25.74. The population change rate of the LAU in the last 10 years (%) has been 12.96%. The overall regional population density (Inhabitants/km2) is 11.11. The regional population change rate in the last 10 years (%) has been 10.08%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 43700.86. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5313.71. The primary sector share of total GVA/year [Province] is 7.89%. The secondary sector share of total GVA/year [Province] is 18.80%. The tertiary sector share of total GVA/year [Province] is 66.36%. The per capita income (EUR/year) [Region] is 54460.72. The total Gross Value Added (GVA) (EUR million/year) [Region] is 22400.21. The primary sector share of total GVA/year [Region] is 5.35%. The secondary sector share of total GVA/year [Region] is 16.31%. The tertiary sector share of total GVA/year [Region] is 78.34%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 15554. The regional (Region) share of total BPs/year is 38.29%. The number of agricultural holdings in the LAU is 3027. The nearest settlement with population over 100000 (km) is 33.7. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 1.09%. The secondary sector share of total employment/year [Province] is 19.27%. The tertiary sector share of total employment/year [Province] is 79.63%. The primary sector share of total employment/year [Region] is 2.54%. The secondary sector share of total employment/year [Region] is 20.19%. The tertiary sector share of total employment/year [Region] is 77.27%.
Interest on this VC,"High quality product linked to an old tradition in the region. The innovation is related to the search for new markets beyond the locality, as this VC has traditionally been mostly focused at local scale. In addition, the Growling service is an innovation in the way this product is purchased."
Key local assets,"There is a strong beer brewing tradition in the area. There are up to hundreds of small producers that brew their own beer in groups of friends or family just for their own enjoyment and consumption. Knowledge on the basic steps to make this smoked beer is shared among the brewers to maintain alive the tradition, but each of them keep their own recepies' secret, giving this way a great diversity to the local beers. Normally, they use local malt for the breweries and no hops. Instead they add juniper seeds to the water to give flavours from local forests. "
Challenges,"Their key challenge is to get a niche in the market outside of the locality. Being an artisanal production, those who want to make a living with it need to improve their market position. They are already doing so by developing e-commerce and also joining regional associations of local producers. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The product itself is very traditional. The artisanal making guarantees its uniqueness. However, there are some breweries that are developing their marketing strategies and setting e-commerce and websites. In addition, some are part of the local label AUK SMAKER FRA STJØRDALSFØRET, which also helps to reach new customers and to sell online. Besides, they offer the Growling, a service that allows customers to refill their bottles in the brewery. The innovation is related to New products and New marketing strategies. The land use systems involved are Cropland and Forestry. The local assets include Natural, social and cultural."
Concluding remarks,Another example of small scale beer brewery exist in the municipality of Vinje (NO0834).
