title,description
"Poultry farming, integration by the cooperative","The MOVING reference member state of this VC (Value Chain) is FRANCE CCVD. The reference MOVING Card ID of this VC is VC 12 FR1. The poultry farming VC is developping in the Drome Valley. This production was favoured for farmers who do not have access to water. This production (hen egg and meat) is mainly organic and respond to local and national demand. It is either produced by diversified or specialized exploitations. The positive impact of this VC is the adaption to climate condition and poor access to water in the region. It also answer a local and national demand. In terms of environnement, poultry farming in diversified exploitation is a great complement of green manure. At the Biovallee scale, the VC is structured by the cooperative Val Soleil with 185 adherents in the poultry VC. The cooperative model allows farmers to have a security: guaranted incomes; shared material; adapted marketing strategies. The cooperative is managed by farmers with a democratic principle 'one person, one vote'. Eggs filiere counts 120 000 free range hens, 40 000 green label hens and 125 000 organic hens. Eggs are saled under two brands 'oeuf de nos villages' and 'cocorette'. Regarding chicken meat, chicken are raised and slaughtered locally and feed with local food production (139 farms, 2 slaughtered houses). 7 quality labels exist such as red label, organic, 100% vegetal.."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Drome Valley. The reference mountain landscape of this VC is Drome departement. Drôme is a very diversified departement in terms of geological, natural and agricultural resources. The North-East of the territory is characterised by middle and high mountains (Pre Alps and Vercors Natural Park): agriculture is this area is mainly livestock and small diversified gardening. The South is characterized by the beginning of the Provence and the mediterranean climate, we can find there aromatic and yard large cultures. The West of the territory is characterized by plains were the Rhône and the Drôme rivers meet. Agriculture ther is mainly large cropland. Within the Drôme departement, Biovallée territority gathers 3 associations of municipalities (EPCI) - 95 muncipalities in total. It is a very preserved and diversified territory, following the Drôme River, from Pre Alps to large plains of the downvalley."
Geography and population,The size of the area (km2) is 2200. The minimum altimetry of the LAU (Local Administrative Unit) is 50. The maximum altimetry of the LAU is 2453. The total population (in thousand) is 58.56. The population density (Inhabitants/km2) in the LAU is 42.3. The population change rate of the LAU in the last 10 years (%) has been 1%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) has been 0.6%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 21100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 14532.49. The primary sector share of total GVA/year [Province] is 1.70%. The secondary sector share of total GVA/year [Province] is 20.30%. The tertiary sector share of total GVA/year [Province] is 77.80%. The per capita income (EUR/year) [Region] is 32799. The total Gross Value Added (GVA) (EUR million/year) [Region] is 242040. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.70%. The tertiary sector share of total GVA/year [Region] is 74.30%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 56167. The regional (Region) share of total BPs/year is 37%. The number of agricultural holdings in the LAU is 6400. The nearest settlement with population over 100000 (km) is 115. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 2.20%. The secondary sector share of total employment/year [Province] is 24.60%. The tertiary sector share of total employment/year [Province] is 71.50%. The primary sector share of total employment/year [Region] is 2.10%. The secondary sector share of total employment/year [Region] is 21.80%. The tertiary sector share of total employment/year [Region] is 76.10%.
Interest on this VC,"The poultry farming in small structures was developped by farmers with no acces to water who adapted to water access condition and to answer strong consumer demand for local aviculture products (egg and meat). New processes: shared cultural technics and tools; adaptation of the production; valorization of meat of laying hens New marketing strategies: developpement of poultry farming to answer a local and national demande New governance systems: cooperative model gather farmers to market their production at local scale, guarantee steady incomes and shared means of production."
Key local assets,"Natural asset: Organic poultry farming a small scale is complementary with diversified vegetable production: green manure, poor water demand Social asset: local production to answer national and local meat and egg demand, creation of local value in the territory. "
Challenges,The poultry farming VC is a good example of a production adapted to climate change condition (water scarcity). Farmers are currently converting to this production with a local marketing strategy in order to answer local and national demand for poultry products. This developpement strategy is carried out by farmers and cooperative actors. Overall the type of challenge faced by this VC is Current. This VC is classified as Innovative.
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Poultry farming integrated in cooperative model is innovative as it allows farmers to produce with a granted incomes, with shared cultural technics and tools and shared vision of the marketing strategies corresponding to local demand. The innovation is related to New processes, New marketing strategies and New governance systems. The land use systems involved are Cropland. The local assets include Natural and social."
