title,description
Florina peppers are a specialty produce grown in villages in West Macedonia Greece,"The MOVING reference member state of this VC (Value Chain) is GREECE. The reference MOVING Card ID of this VC is VC 16 GR. The actors and activities include farmers, processing and production businesses, packaging and distribution centers which are all in the wider area of Florina. This bolsters the local economy and creates possibilities for gastrotourism and sustainability of the villages and the region. The company Naoumidis all pepper that operates in the region of Agios Panteleimonas plays an important role in the production of Florina peppers. Moreover, the culinary uses of the peppers in Agios Panteleiomans expand to restaurants and eateries all over Greece and abroad. All of which are the most viable sectors of the pre-COVID economy in Greece. On the other hand, sustaining a steady production is a challenge."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Voras mountain. The reference mountain landscape of this VC is Agios Panteleimonas. Voras mountain range is situated in two states: Greece and North Macedonia. It hosts many ski resorts. It's highest peak is Kaimakchalan (2,524m). The peaks of Mount Vora are a protected habitat of the Natura 2000 network with code GR1240001 The vegetation includes wild cypresses, steppe grasslands, peatlands, beech forests, oak forests, chestnut forests, pine forests, etc. In the protected area of 400,000 acres there are 14 caves of paleo-ecological interest. The soil and climatic conditions in this landscape contribute to the uniqueness of the Red Peppers of Florina."
Geography and population,The size of the area (km2) is 827.6. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 2528. The total population (in thousand) is 49.153. The population density (Inhabitants/km2) in the LAU is 27.40. The population change rate of the LAU in the last 10 years (%) has been -0.05%. The overall regional population density (Inhabitants/km2) is 28.8. The regional population change rate in the last 10 years (%) has been -0.08%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 17100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 737.62. The primary sector share of total GVA/year [Province] is 10.62%. The secondary sector share of total GVA/year [Province] is 46.22%. The tertiary sector share of total GVA/year [Province] is 43.16%. The per capita income (EUR/year) [Region] is 15300. The total Gross Value Added (GVA) (EUR million/year) [Region] is 3559.99. The primary sector share of total GVA/year [Region] is 8.37%. The secondary sector share of total GVA/year [Region] is 45.71%. The tertiary sector share of total GVA/year [Region] is 45.92%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 252. The regional (Region) share of total BPs/year is 0.186%. The number of agricultural holdings in the LAU is 5954. The nearest settlement with population over 100000 (km) is 130. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 15.92%. The secondary sector share of total employment/year [Province] is 17.66%. The tertiary sector share of total employment/year [Province] is 66.37%. The primary sector share of total employment/year [Region] is 17.23%. The secondary sector share of total employment/year [Region] is 22.42%. The tertiary sector share of total employment/year [Region] is 60.36%.
Interest on this VC,"The peppers are cultivated in the small mountainous villages of Aghios Panteleimonas in the Florina region. The peppers are a PDO procuct of high economic and cultural impact. They are packaged and exported all over the world. The farmers and the processing industry have maintained both the quality and the traditions. The sustainability of the villages is of paramount importance. Cultural festivals around harvesting add both cultural and economic value. PDO quality and traditional ways of cultivating and processing of the peppers. They are harvested each season by hand and are considered to be one of the most exported peppers. The peppers grown in Florina are given the famous name to ensure that quality is maintained. The peppers are canned, dried, made into different suaces, relish, spreads and are also pickled. They are a part of the gastronomical heritage of the region and Greece. The peppers economic and culinary impact is celebrated in a festival each year. The fact that there are now more Florina peppers standardization units is associated with the increased demand observed, which is generally a high value-added commodity. The gourmet and culinary uses have increased exponentially and added to economic and cultural value to this mountainous region."
Key local assets,"Culinary and farming traditions are maintained in the region. This has sustained the economy and the population of the villages. The Florina Peppers are cultivated and processed in the same region, PDO quality and name safergurding. "
Challenges,"The challenges for the Florina peppers include maintaining high levels of cultivation, procuction and authenticity. Competition for peppers that look like the Florina Pepper is also a challenge. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Florina peppers are more recently being used in the production of new products such as relish and spreads, while unique products are created (moustopiperies, piperomelo) and combined with products such as honey, tomatoes, eggplants etc. E-commerce is also developing. The innovation is related to New products. The land use systems involved are Natural land. The local assets include Natural, social and cultural."
Concluding remarks,"This PDO product is in this region, yet red peppers are cultivated in many other areas in Greece and in other European countries."
