title,description
Wool Products from Bordaleira Serra da Estrela autochthonous sheep breed,"The MOVING reference member state of this VC (Value Chain) is PORTUGAL ESTRELA. The reference MOVING Card ID of this VC is VC 16 PT2. Wool comes from Bordaleira Serra da Estrela autochthonous sheep breed. The sheep are shorn in spring and only the best quality wool is used for textile purposes. The spinning allows the transformation of wool into yarn with the desired thickness, which is then used in weaving. Different Wool Products, such as blankets and clothing items, are produced and then sold locally and in big urban centers."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Cordilheira Central (RR08). The reference mountain landscape of this VC is Manteigas. With stunning landscapes, Manteigas is a municipality with 4 parishes, in the district of Guarda in the Centre region of Portugal. Manteigas shares with the municipalities of Seia and Covilhã, the highest point in mainland Portugal at 1993 meters of altitude. The main village of Manteigas is located in the Zêzere Glacier Valley, which is a great example of landscape modeling by glaciers, with its 'U' shape. Historically, the most important economic activities in Manteigas are related to pastoralism, sheep's cheese production and wool industry."
Geography and population,The size of the area (km2) is 123.28. The minimum altimetry of the LAU (Local Administrative Unit) is 496. The maximum altimetry of the LAU is 1993. The total population (in thousand) is 3.007. The population density (Inhabitants/km2) in the LAU is 24.7. The population change rate of the LAU in the last 10 years (%) has been -0.15%. The overall regional population density (Inhabitants/km2) is 78.6. The regional population change rate in the last 10 years (%) has been -0.05%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 13122.59. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2534.72. The primary sector share of total GVA/year [Province] is 3.67%. The secondary sector share of total GVA/year [Province] is 24.16%. The tertiary sector share of total GVA/year [Province] is 72.00%. The per capita income (EUR/year) [Region] is 16576.33. The total Gross Value Added (GVA) (EUR million/year) [Region] is 33268.83. The primary sector share of total GVA/year [Region] is 3.44%. The secondary sector share of total GVA/year [Region] is 30.35%. The tertiary sector share of total GVA/year [Region] is 67.00%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 403. The regional (Region) share of total BPs/year is 0.63%. The number of agricultural holdings in the LAU is 111. The nearest settlement with population over 100000 (km) is 77.2. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 20.11%. The secondary sector share of total employment/year [Province] is 34.59%. The tertiary sector share of total employment/year [Province] is 45.30%. The primary sector share of total employment/year [Region] is 13.25%. The secondary sector share of total employment/year [Region] is 48.20%. The tertiary sector share of total employment/year [Region] is 38.55%.
Interest on this VC,"Wool from an autochthonous sheep breed (Bordaleira Serra da Estrela) is used to produce Wool Products. Wool is highly connected to territoral identity as, at Serra da Estrela, there is an ancient tradition in artisanal wool weaving industry. Wool is highly characteristic of the MRL. Wool is highly connected to land use and landscape management. Wool is 100% natural, biodegradable and renewable."
Key local assets,"Bordaleira Serra da Estrela sheep breed has a medium stature and is white or black in color. It has horns curled forward and females have a well-developed udder. It has, predominantly, dairy aptitude. "
Challenges,"Reduced number of shepherds, as this job is sometimes seen as unattractive, due to being physically demanding, in sometimes harsh weather conditions, and low wages. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural.
Concluding remarks,"At Serra da Estrela, Wool Products are also produced using wool from other sheep breeds, namely Churra Mondegueira and Portuguese Merino breeds."
