title,description
Organic milk,"The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 10 SCA. Cattle graze in cultivated pastures in the village and in open pastures around the farms in Dagalifjell. The grazing season is from May to October. In winter, the animals are fed with their own produced organic roughage and some organic concentrate and mineral supplements. This farm is part of the Uvdalsbonden local label, a producer's organisation to improve their visibility as a group and to reach more customers. The organic certification is given by Debio, the Norwegian organic certification entity. The website includes an e-commerce platform. Besides the milk, they produce and sell organic veal meat and free range organic pig meat."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Nore og Uvdal. The municipality is located in the upper part of the Numedal valley. The western area is part of the Hardangervidda National Park. The local brand/producer association Uvdalsbonden consists of 5 farms that are all commited with animal well-being, traditional food and land management of the mountain areas of the MRL in order to foster a sustainable future for the valley. Together they produce free range lamb and goat, pork and cow meat, and even lama meat, and offer accomodation and fishing tourism packages."
Geography and population,The size of the area (km2) is 2502.16. The minimum altimetry of the LAU (Local Administrative Unit) is 260. The maximum altimetry of the LAU is 1485. The total population (in thousand) is 2.439. The population density (Inhabitants/km2) in the LAU is 0.97. The population change rate of the LAU in the last 10 years (%) has been -2.98%. The overall regional population density (Inhabitants/km2) is 21.43. The regional population change rate in the last 10 years (%) has been 8.14%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 47008.76. The total Gross Value Added (GVA) (EUR million/year) [Province] is 11783.28. The primary sector share of total GVA/year [Province] is 0.95%. The secondary sector share of total GVA/year [Province] is 30.23%. The tertiary sector share of total GVA/year [Province] is 68.82%. The per capita income (EUR/year) [Region] is 61033.47. The total Gross Value Added (GVA) (EUR million/year) [Region] is 39674.92. The primary sector share of total GVA/year [Region] is 0.91%. The secondary sector share of total GVA/year [Region] is 23.98%. The tertiary sector share of total GVA/year [Region] is 69.72%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 1468. The regional (Region) share of total BPs/year is 3.93%. The number of agricultural holdings in the LAU is 2111. The nearest settlement with population over 100000 (km) is 176. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 1.56%. The secondary sector share of total employment/year [Province] is 29.96%. The tertiary sector share of total employment/year [Province] is 68.49%. The primary sector share of total employment/year [Region] is 1.39%. The secondary sector share of total employment/year [Region] is 21.99%. The tertiary sector share of total employment/year [Region] is 76.61%.
Interest on this VC,Free ranged cows of authochthonous breeds to produce this organic product.
Key local assets,"Cows are fed both with cultivated and natural pastures. They use Norwegian cattle breeds such as Telemarkfe, Sidet Trønder- and Nordlandsfe and Dølafe. The social assets are cooperation and shared values among local producers under the Uvdalsbonden local brand. "
Challenges,1) Market competition with industrial dairies; 2) To increase the number of consumers that choose organic instead of conventional dairies. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland and Natural land. The local assets include Natural and social.
