title,description
"Logging, timber production, afforestation, maintenance, leasure, sport","The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 11 HU. Logging for firewood, sawmill and nearby thermal power plant. Replantation and maintenance of the forest. Typical and traditional mountain activity, complemented with building and maintaining tourist routes, resting places, watch towers, etc. Workers employed in forestry are often disadvantaged, poor people, not having other possibilities for income, thus forestry is important for social reasons. Well managed forest provides for biodiversity."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Transdanubian mountains. The reference mountain landscape of this VC is Zirc. The town of Zirc in Veszprém county is the only town in the Zirc district and its center, the 'capital of the Bakony'. It is the highest town in Hungary (the 400-meter level line passes through the city center). Zirc has not only road but also rail access."
Geography and population,The size of the area (km2) is 37. The minimum altimetry of the LAU (Local Administrative Unit) is 503. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 6.831. The population density (Inhabitants/km2) in the LAU is 184.62. The population change rate of the LAU in the last 10 years (%) has been -0.04%. The overall regional population density (Inhabitants/km2) is 95.45. The regional population change rate in the last 10 years (%) has been -0.04%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 3877. The total Gross Value Added (GVA) (EUR million/year) [Province] is 3286. The primary sector share of total GVA/year [Province] is 4.99%. The secondary sector share of total GVA/year [Province] is 27.78%. The tertiary sector share of total GVA/year [Province] is 67.22%. The per capita income (EUR/year) [Region] is 14578. The total Gross Value Added (GVA) (EUR million/year) [Region] is 12355. The primary sector share of total GVA/year [Region] is 4.78%. The secondary sector share of total GVA/year [Region] is 38.97%. The tertiary sector share of total GVA/year [Region] is 56.24%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 350. The regional (Region) share of total BPs/year is 10.03%. The number of agricultural holdings in the LAU is 29. The nearest settlement with population over 100000 (km) is 24. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.47%. The secondary sector share of total employment/year [Province] is 42.86%. The tertiary sector share of total employment/year [Province] is 52.67%. The primary sector share of total employment/year [Region] is 4.47%. The secondary sector share of total employment/year [Region] is 42.86%. The tertiary sector share of total employment/year [Region] is 52.67%.
Interest on this VC,"Logging for firewood, sawmill and nearby thermal power plant. Replantation and maintenance of the forest. Typical and traditional mountain activity, complemented with building and maintaining tourist routes, resting places, watch towers, etc. The use of modern machinery and the sale of wood to a nearby thermal power plant is innovative."
Key local assets,"Forest management is a typical mountain activity and is also traditional locally, based entirely on traditional local knowledge. It uses the local forests and woods and infrastructure. "
Challenges,"Climate change (warming, new pests, extreme weather conditions, draught, frost damages). Managing forest workers (often poor, excluded social groups.) Theft of wood, illegal activities. Wildl animals can also cause significant damage to new installations. Conflicts with forest users, littering, visitor pressure (hikers, motorcyclists, cyclists, mushroom pickers). Vandalism, damaging forest furniture, resting places, etc. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Forest management is a typical mountain activity and is also traditional locally, based entirely on traditional local knowledge. The use of modern machinery and the sale of wood to a nearby thermal power plant is innovative. Developing watch towers, tourist pathes in recent years is a 'traditional innovation' in this field. The innovation is related to The use of modern machinery and the sale of wood to a nearby thermal power plant is innovative. The land use systems involved are Forestry. The local assets include Natural and cultural."
