title,description
Berries - NTFP,"The MOVING reference member state of this VC (Value Chain) is NMK. The reference MOVING Card ID of this VC is VC 04 NMK. Key actors dealing with berrries in Maleshevija : a) Agro Maks b) Balivski c) Emilija Pehcheva d) Krstovski Gjorgji There are many private individuals/families leaving in the region of Maleshevija, who are engaged in producing and selling honey, next to few businesses."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Mountain Meleshevija. The reference mountain landscape of this VC is unspecified. Maleshevski mountains are located in the eastern part of the Republic of North Macedonia. The are covers the municipalities of Berovo and Pehchevo, and is characterized with the natural and cultural wealth. Two rivers cross the region, Bregalnica and Strumica. Forests covers 52% of the Maleshevija region, while pastures around 20%."
Geography and population,The size of the area (km2) is 806. The minimum altimetry of the LAU (Local Administrative Unit) is 660. The maximum altimetry of the LAU is 1932. The total population (in thousand) is 174.341. The population density (Inhabitants/km2) in the LAU is 49.3. The population change rate of the LAU in the last 10 years (%) has been -3.00%. The overall regional population density (Inhabitants/km2) is 83.4. The regional population change rate in the last 10 years (%) has been 1.20%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 5056. The total Gross Value Added (GVA) (EUR million/year) [Province] is 769. The primary sector share of total GVA/year [Province] is 9.80%. The secondary sector share of total GVA/year [Province] is 45.60%. The tertiary sector share of total GVA/year [Province] is 44.53%. The per capita income (EUR/year) [Region] is 5175. The total Gross Value Added (GVA) (EUR million/year) [Region] is 9332. The primary sector share of total GVA/year [Region] is 9.75%. The secondary sector share of total GVA/year [Region] is 27.70%. The tertiary sector share of total GVA/year [Region] is 62.50%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2088. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 26003. The nearest settlement with population over 100000 (km) is unspecified.
Employment,The primary sector share of total employment/year [Province] is unspecified. The secondary sector share of total employment/year [Province] is unspecified. The tertiary sector share of total employment/year [Province] is unspecified. The primary sector share of total employment/year [Region] is 16.20%. The secondary sector share of total employment/year [Region] is 30.50%. The tertiary sector share of total employment/year [Region] is 53.30%.
Interest on this VC,"Berries, as a NTFP product, have a big potential in the region of Maleshevija. This product has a good potential to involve local collectors through clear tenured rights, better collection methods, capacity development, infrastructure and institutional support in near future. The Maleshevski mountain offers very good condition for further development of berries, including Jams and juices produced from different types of berries (wild strawberry; blue berry; red raspberry; black berry). Berries are natural, healthy and wild products with big potential in the Meleshevski mountains. Jams and juices are produced from different types of NTFP in the region of Maleshevija (wild strawberrry; blue berry; red raspberry; black berry, plum's jams) contributing thus to rural families in that region, who are involved in such activities."
Challenges,"Harvesting is often done in a non-sustainable manner, careless about the resource, one due to the lack of training, and second due to the competition among harvesters to get quantity over quality. Buyout values quantity and rarely quality. Buyout is often done via informal (illegal) buyout channels, thus it involves several middlemen. The buyout prices are generally low. The stakeholders are disorganized, though some efforts of organization exist. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. The usage of new and high technology for processing this product. The innovation is related to the whole VC. The land use systems involved are Forestry and Natural land. The local assets include Natural, social and cultural."
Concluding remarks,The VC is also present in the Member States.
