title,description
It is a traditional local cheese from goat and sheep milk,"The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 18 TR. The feeding and milking activity of sheep and goat are caried out by small family farms. Cheese is ripened originally in dried goat or sheep skin. This is very unique and traditional production method that gives special taste to cheese. Some breeders sell raw milk to cooperatives or dairy firms to be processed.The perspectives of the product bring together the farmers, the local government, cooperatives and firms, packaging, promotion and marketing."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Bergama, İzmir. The reference mountain landscape of this VC is Bergama. Bergama is district of İzmir Province in western Turkey. Bergama center is situated at a distance of 118 km (73 mi) to the north from the point of departure of the traditional center of İzmir (Wikipedia,2021)."
Geography and population,The size of the area (km2) is 1544. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1344. The total population (in thousand) is 104.944. The population density (Inhabitants/km2) in the LAU is 67.96891192. The population change rate of the LAU in the last 10 years (%) has been 3.74%. The overall regional population density (Inhabitants/km2) is 329.4. The regional population change rate in the last 10 years (%) has been 10.83%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 9600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 37093.1. The primary sector share of total GVA/year [Province] is 44.00%. The secondary sector share of total GVA/year [Province] is 53.60%. The tertiary sector share of total GVA/year [Province] is 54.60%. The per capita income (EUR/year) [Region] is 9500. The total Gross Value Added (GVA) (EUR million/year) [Region] is 37271.31. The primary sector share of total GVA/year [Region] is 4.40%. The secondary sector share of total GVA/year [Region] is 53.60%. The tertiary sector share of total GVA/year [Region] is 54.60%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 51356. The regional (Region) share of total BPs/year is 100.00%. The number of agricultural holdings in the LAU is 49788. The nearest settlement with population over 100000 (km) is 107. In this region protected areas are not present.
Employment,The primary sector share of total employment/year [Province] is 9.30%. The secondary sector share of total employment/year [Province] is 31.00%. The tertiary sector share of total employment/year [Province] is 59.70%. The primary sector share of total employment/year [Region] is 9.30%. The secondary sector share of total employment/year [Region] is 31.00%. The tertiary sector share of total employment/year [Region] is 59.70%.
Interest on this VC,Transhumance in Turkey is widely seen as a form of livestock. Smal scale farmers who have got avarage 150-200 sheep/goat herds produce cheese in highland of Madra mountains and sell in district bazaar while some farmers sell raw milk to processors like cooperatives or dairy firms. Bergama Tulum cheese originates in Turkish culture and is traditionally made by being placed into handmade dried goat or sheep skin.
Key local assets,"Bergama is an important district to sheep and goat farming associated with mountain farming, especially in higher regions in İzmir. Totaly 140387 sheeps and 21938 goats exist in Bergama (TurkStat, 2021). The altitude, local animals, traditional process, give to these cheese a lot of character, that it has got outstanding taste award which is important to gastronomy tourism. Agriculture and tourism sectors are interconnected in the area. The aim is to increase the production of Bergama tulum cheese, protect of pastoral farming and traditional taste. "
Challenges,"In recent years, the decreasing importance of grazing animals in pasture lands due to changing social, cultural and economical conditions and the perpetual decline in the population of rural settlements through immigration; have caused the traditional transhumance to lose its importance. Sheep and goat farming in pasture lands is decreasing because of economical conditions. High feed costs in the region are the most important challenges. The local people are willing and insistent on sustaining traditional transhumance, a longer term preservation of the traditional culture itself against modernization process is not to be seen possible. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. Organic honey production. The innovation is related to the whole VC. The land use systems involved are Grassland and Natural land. The local assets include Natural and cultural.
Concluding remarks,"Cheese which is made from goat and sheep milk is included in other MRLs in the Member State such as Serbia, Spain, Switzerland. However, Bergama tulum cheese is special kindf of cheese made by being placed into handmade dried goat or sheep skin."
