title,description
Firewood (Holm oak and white oak),"The MOVING reference member state of this VC (Value Chain) is FRANCE INRAE. The reference MOVING Card ID of this VC is VC 21 FR. Forest represent half of the Corsican land (400 000 ha), which is bigger than the national average (30%). Half of it corresponds to forests of mid-altitude. They are owned by individuals, under small parcels that are generally smaller than 10ha. They are mostly composed of oaks and they have been expanding at an important rate. This corresponds to the finished form of shrub, once it has grown on abandoned land. It has a role for heating local households, eventhough it is not optimized. 280 establishments are involved in the wood sector in Corsica, mostly in extracting firwood, but the profesionnals are aging and salaries are less than national average."
Mountain landscape and reference chains,The reference mountain chain of this VC is Corsican moutains. The reference mountain landscape of this VC is Corsica.
Geography and population,The size of the area (km2) is 8722. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 2706. The total population (in thousand) is 0.334. The population density (Inhabitants/km2) in the LAU is 38.6. The population change rate of the LAU in the last 10 years (%) has been 1.10%. The overall regional population density (Inhabitants/km2) is 38.6. The regional population change rate in the last 10 years (%) has been 1.10%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8034.12. The primary sector share of total GVA/year [Province] is unspecified. The secondary sector share of total GVA/year [Province] is unspecified. The tertiary sector share of total GVA/year [Province] is unspecified. The per capita income (EUR/year) [Region] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Region] is 8034.12. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is unspecified. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 2626. The nearest settlement with population over 100000 (km) is 333. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is unspecified. The secondary sector share of total employment/year [Province] is unspecified. The tertiary sector share of total employment/year [Province] is unspecified. The primary sector share of total employment/year [Region] is 0.036. The secondary sector share of total employment/year [Region] is 0.162. The tertiary sector share of total employment/year [Region] is 0.802.
Interest on this VC,"Prevalence of the connected land use system(s), autonomy and energy."
Challenges,To provide for local needs in energy and other uses of wood. To constitute one way to regulate the expansion of forest and the risk of big fires. To adress the controversy about emission of carbon and energy based on woodfire. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. No innovation noticed. The innovation is related to the whole VC. The land use systems involved are Forestry, Natural land, Schrubs and chestnuts forests. The local assets include Natural and cultural."
Concluding remarks,"Similar VC was identified in other MRls, in Czech Republic, Hungary, North Macedonia."
