title,description
Sustainable local food system project - Kóspallag,"The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 22 HU. In Kóspallag the local government has various initiatives to enhance local community and a sustainable food system. The goal is to provide sustainable local food for local people, to sell and get income from the remaining products and to save local verieties. There is a community garden (also providing employment for the local poor) and a cross-border co-operation programme on exploring and spreading local fruit and vegetable varieties in the area. They are supporting local organic producers with agricultural land and other assets owned by th local authority.They are currently developing a farmers' market/shop/and catering facility and a small processing plant for fruit and vegetables to be used by the whole community."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Börzsöny Mountain. The reference mountain landscape of this VC is Kóspallag. The village of Kóspallag is located in the northern part of Pest county, in the Szobi district. The nearest larger town (Vác) is 23 km away and the capital is 65 km away. The settlement is located in Börzsöny, in the Kóspallag basin, surrounded by mountains. The area of the settlement belongs to the Danube-Ipoly National Park."
Geography and population,The size of the area (km2) is 13. The minimum altimetry of the LAU (Local Administrative Unit) is 440. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 0.733. The population density (Inhabitants/km2) in the LAU is 56.38. The population change rate of the LAU in the last 10 years (%) has been -0.08%. The overall regional population density (Inhabitants/km2) is 437.65. The regional population change rate in the last 10 years (%) has been 0.03%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 15339. The total Gross Value Added (GVA) (EUR million/year) [Province] is 13000. The primary sector share of total GVA/year [Province] is 2.34%. The secondary sector share of total GVA/year [Province] is 21.60%. The tertiary sector share of total GVA/year [Province] is 76.06%. The per capita income (EUR/year) [Region] is 69432. The total Gross Value Added (GVA) (EUR million/year) [Region] is 58846. The primary sector share of total GVA/year [Region] is 0.66%. The secondary sector share of total GVA/year [Region] is 11.87%. The tertiary sector share of total GVA/year [Region] is 87.47%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 29.1. The regional (Region) share of total BPs/year is 37.45%. The number of agricultural holdings in the LAU is 78. The nearest settlement with population over 100000 (km) is 23. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 1.19%. The secondary sector share of total employment/year [Province] is 22.01%. The tertiary sector share of total employment/year [Province] is 76.80%. The primary sector share of total employment/year [Region] is 1.19%. The secondary sector share of total employment/year [Region] is 22.01%. The tertiary sector share of total employment/year [Region] is 76.80%.
Interest on this VC,"The local government has various initiatives to enhance local community and a sustainable food system. The goal is to provide sustainable local food for local people, to sell and get income from the remaining products and to save local verieties. There is a community garden (also providing employment for the local poor) and a cross-border co-operation programme on exploring and spreading local fruit and vegetable varieties in the area. They are currently developing a farmers' market/shop/and catering facility and a small processing plant for fruit and vegetables to be used by the whole community. The VC considers a new process and new governance system, because the municipality initiate projects, which is not common. They try to create a sustainable village, which is also uniqe."
Key local assets,"The municipality creates and manages a community garden, supports local organic producers with agricultural land and other assets owned by th local authority. They run a transnational project for saving local fruit varieties and create a fruit garden. They turn an old public kitchen into a small fruit and vegetable processing plant open to be used by the local community, etc. "
Challenges,"Challenges in connection with climate change (draughts, extreme weather events, etc.). To find enough resources for the implementation of all projects (in Hungary, local governments do not have independent income, they rely on external sources). Located in a beautiful hilly area, overtourism, big investors and rising real estate prices and population change can be future a problem (these problems also show signs now). Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. The VC is innovative, because all these initiatives are not obligations for a municipality, but extra commitments. We can count the VC traditional, since it relies on local conditions, local land and traditional verieties. The idea and knowledge comes from inside, from the local mayor and his team, but also from outside, because the mayor studied about sustainability on various universities. The innovation is related to New processes and New governance systems. The land use systems involved are Cropland. The local assets include Natural, social and cultural."
