title,description
Extensive and pastoral livestock farming,"The MOVING reference member state of this VC (Value Chain) is FRANCE CCVD. The reference MOVING Card ID of this VC is VC 02 FR1. Extensive sheep farming and pastoralism are characteristic of Drôme valley mountain and mid-mountain areas. Local slaughtering and direct sales either directly to the consumer or with the label 'Agneau de sisteron' allows to produce value on the territory. However, this value chain is very dependent on financial support from the EU. The VC suffers from strong pressures: predation (wolf), droughts, changes in consumer demand, impact on biodiversity. There are many local and regional stakeholder organizations (ADEM/PNR/FDO..) requesting support to address these issues through ecological, economic and social impact assessment of VC and support to change practices."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Drome Valley. The reference mountain landscape of this VC is Drome departement. Drôme is a very diversified departement in terms of geological, natural and agricultural resources. The North-East of the territory is characterised by middle and high mountains (Pre Alps and Vercors Natural Park): agriculture is this area is mainly livestock and small diversified gardening. The South is characterized by the beginning of the Provence and the mediterranean climate, we can find there aromatic and yard large cultures. The West of the territory is characterized by plains were the Rhône and the Drôme rivers meet. Agriculture ther is mainly large cropland. Within the Drôme departement, Biovallée territority gathers 3 associations of municipalities (EPCI) - 95 muncipalities in total. It is a very preserved and diversified territory, following the Drôme River, from Pre Alps to large plains of the downvalley."
Geography and population,The size of the area (km2) is 2200. The minimum altimetry of the LAU (Local Administrative Unit) is 50. The maximum altimetry of the LAU is 2453. The total population (in thousand) is 58.56. The population density (Inhabitants/km2) in the LAU is 42.3. The population change rate of the LAU in the last 10 years (%) has been 1%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) has been 0.6%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 21100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 14532.49. The primary sector share of total GVA/year [Province] is 1.70%. The secondary sector share of total GVA/year [Province] is 20.30%. The tertiary sector share of total GVA/year [Province] is 77.80%. The per capita income (EUR/year) [Region] is 32799. The total Gross Value Added (GVA) (EUR million/year) [Region] is 242040. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.70%. The tertiary sector share of total GVA/year [Region] is 74.30%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 56167. The regional (Region) share of total BPs/year is 37%. The number of agricultural holdings in the LAU is 6400. The nearest settlement with population over 100000 (km) is 115. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 2.20%. The secondary sector share of total employment/year [Province] is 24.60%. The tertiary sector share of total employment/year [Province] is 71.50%. The primary sector share of total employment/year [Region] is 2.10%. The secondary sector share of total employment/year [Region] is 21.80%. The tertiary sector share of total employment/year [Region] is 76.10%.
Interest on this VC,"Local valorization, creation of added value, local economic organization on the territory: Local slaughtering and direct sales either directly to the consumer or with the label 'Agneau de sisteron' allows to produce value on the territory. Development of adaptation practices in the face of climate change Sharing of mountain space and production of ecosystem services provided in the mountains (silvopastoralism). New marketing strategies: creation of a local filiere of organic sheep meet through direct sale and labels New governance systems: different actors using the mountain space gathers to define a common strategy of use such as 'Plan Pastoral Territorial'. Depends a lot of public policies, regional and local."
Key local assets,"Natural asset: Providing ecosystem services in the mountain: sylvopastoralism, ecopasturing. economic asset: Creation of local added value, local employment, answer to territorial food demand cultural asset: contribution of local food heritage, conservation of traditional jobs and know how. "
Challenges,"Extensive sheep farming and pastoralism are characteristic of Drôme valley mountain and mid-mountain areas.However, this value chain is very dependent on financial support from the EU. The VC suffers from strong pressures: predation (wolf), droughts, changes in consumer demand, impact on biodiversity. There are many local and regional stakeholder organizations (ADEM/PNR/FDO..) requesting support to address these issues through ecological, economic and social impact assessment of VC and support to change practices. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional."
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. - local valorization, creation of added value, local economic organization on the territory: Local slaughtering and direct sales either directly to the consumer or with the label 'Agneau de sisteron' allows to produce value on the territory. - production of innovative ecosystem services provided in the mountains (silvopastoralism). The innovation is related to the whole VC. The land use systems involved are Grassland, Natural land and water. The local assets include Natural, social and cultural."
