title,description
Grapevine on terraces- Valtellina,"The MOVING reference member state of this VC (Value Chain) is ITALY VINIDEA. The reference MOVING Card ID of this VC is VC 34 IT. Individual winegrowers and small cooperatives are producing high quality red wines of two typologies: classic red wines under the denominations Valtellina Superiore DOCG Sassella and the wines made from dried grapes under the Sforzato denominations. Both typologies had gain an important reputation worldwide and are successfully distributed in Italy and abroad. The Consortium for protection of Valtellina Wine plays an important role not only in terms of quality protection but also in marketing and promotional activities. The Region of Lombardy is making contributions available for restoring and preserving dry stone walls, repairing roads and adapting water conveyance systems in order to protect the terraced landscape for the benefit of viticulture and the safety of the walls. The area forms the part of touristic itinerary Valtellina Wine Road."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Central Eastern Alps. The reference mountain landscape of this VC is Castione Andevenno. Castione Andevenno is a municipality in the Province of Sondrio in the Italian region Lombardy. Located on the sunny and sheltered Rheatic slope, it has very favourable microclimate climate for winegrowing. Castione Andevenno is one of the municipalities producing Valtellina wines under prestigious Sassella cru."
Geography and population,The size of the area (km2) is 17.03. The minimum altimetry of the LAU (Local Administrative Unit) is 273. The maximum altimetry of the LAU is 2477. The total population (in thousand) is 1.6. The population density (Inhabitants/km2) in the LAU is 92.5. The population change rate of the LAU in the last 10 years (%) has been 2.70%. The overall regional population density (Inhabitants/km2) is 420. The regional population change rate in the last 10 years (%) has been 4.00%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 15117. The total Gross Value Added (GVA) (EUR million/year) [Province] is 4824.2. The primary sector share of total GVA/year [Province] is 1.90%. The secondary sector share of total GVA/year [Province] is 27.20%. The tertiary sector share of total GVA/year [Province] is 70.90%. The per capita income (EUR/year) [Region] is 17332. The total Gross Value Added (GVA) (EUR million/year) [Region] is 352980.4. The primary sector share of total GVA/year [Region] is 1.10%. The secondary sector share of total GVA/year [Region] is 26.70%. The tertiary sector share of total GVA/year [Region] is 72.20%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 6. The regional (Region) share of total BPs/year is 6.90%. The number of agricultural holdings in the LAU is 2774. The nearest settlement with population over 100000 (km) is 124. In this region protected areas are not present.
Employment,The primary sector share of total employment/year [Province] is 3.10%. The secondary sector share of total employment/year [Province] is 24.70%. The tertiary sector share of total employment/year [Province] is 72.20%. The primary sector share of total employment/year [Region] is 0.10%. The secondary sector share of total employment/year [Region] is 26.50%. The tertiary sector share of total employment/year [Region] is 73.40%.
Interest on this VC,"High quality red wines produced in the area, very successful marketing strategies introduced in the last decades focuced on the mountain origin of the products ('Nebbiolo from the Alps'), 2500 km of terraces as a human input to the unique mountain landscape."
Key local assets,"The terraced layout of the Valtellina vineyard is the element that most characterises the area. Traditional know-how of building the dry stone walls was transmitted trough the generations of wine-growers. First of all, the terracing made it possible to reclaim the foothills for agricultural use and then it also became an important contribution to the mountain scenary. The other important asset is the Nebbiolo grapevine variety, famous also in other Italian regions (Piemonte), but giving wines with different characteristics when grown in mountains. "
Challenges,"Highly fragmented vineyard plots are all located on a difficult terrain (altidude and steep slopes), construction and maintenance of dry stone walls is needed in order to support the vineyards. All this factors lead to very high production costs. Overall the type of challenge faced by this VC is unspecified. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include Natural and Social.
